autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Ethan Davis,Music Production For Beginners (Step By Step Masterclass),https://www.youtube.com/watch?v=Hi72cCOPUQU,Beginner Guides (Beginner Guides),2532433,2024-08-09,26:07,1567,-12.93,97.95,58.71,,
Beat Academy,Ableton Live 10 & 11 Beginners Tutorial | Beat Academy,https://www.youtube.com/watch?v=25Zcy8Uu4dw,Beginner Guides (Beginner Guides),2214482,2018-08-11,01:19:56,4796,-18.54,8.34,-26.75,,
In The Mix,The RIGHT way to use Compression - Detailed Mixing Tutorial,https://www.youtube.com/watch?v=yi0J9JsRdI4,Mixing Techniques (Mixing Techniques),2092797,2020-08-10,25:02,1502,67.24,74.22,-10.85,,
In The Mix,10 Years of Mixing Advice in 10 Minutes,https://www.youtube.com/watch?v=oY079oVS3Nc,Mixing Techniques (Mixing Techniques),1472250,2025-08-09,10:48,648,93.26,84.56,27.99,,
InspirAspir,Ableton Live Lite for Beginners - (How to make music with Ableton Live 10 Lite),https://www.youtube.com/watch?v=7QKY3wFEx7g,Beginner Guides (Beginner Guides),1384107,2019-08-11,24:58,1498,7.33,10.58,-2.61,,
Ethan Davis,The NEW Ableton 12 Beginner Guide (in 22 Minutes),https://www.youtube.com/watch?v=WMg4Y4q6FQ0,Beginner Guides (Beginner Guides),1320667,2024-08-09,22:53,1373,-16.77,41.32,30.91,,
Tomas George,Ableton Live Tutorial | FREE COURSE | Ableton Live 11 Beginner Tutorial,https://www.youtube.com/watch?v=JaSK3Q8vyGA,Beginner Guides (Beginner Guides),1314338,2021-08-10,02:34:19,9259,-18.61,10.87,-7.77,,
Streaky,Vocal Trick They All Use,https://www.youtube.com/watch?v=CUyMUHStPxs,Vocal Effects (Vocal Effects),1238481,2023-08-10,04:40,280,8.89,84.71,-107.06,,
Collective Intelligence,Your First 15 Minutes in Ableton Live 10 for Beginners,https://www.youtube.com/watch?v=H83TxBL3yOE,Beginner Guides (Beginner Guides),1229142,2019-08-11,16:49,1009,-24.07,30.0,53.68,,
ANDREW HUANG,12 Life-Changing Ableton Tips,https://www.youtube.com/watch?v=SZ3PTkgy2aA,Beginner Guides (Beginner Guides),1026886,2022-08-10,10:36,636,-85.77,75.62,53.73,,
In The Mix,Mastering Start To Finish: A Step by Step Guide to Loud and Clear Masters,https://www.youtube.com/watch?v=ZHXD-BlKyL8,"Beginner Guides (Beginner Guides, Mastering & Audio Polish)",960791,2021-08-10,25:52,1552,6.85,68.86,86.54,,
Dubspot,Ableton Live Tutorial: Vocal Processing Effects + Live Performance Tips,https://www.youtube.com/watch?v=NX_drnUQw_Y,"Vocal Effects (Vocal Effects, Live Performance)",909071,2012-08-12,16:18,978,33.1,52.3,-105.67,,
Nico Astegiano,ABLETON LIVE in 15 minutes (Getting Started),https://www.youtube.com/watch?v=bOxPpoQve24,Beginner Guides (Beginner Guides),872141,2020-08-10,17:14,1034,-30.19,14.47,54.6,,
