autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Blender Guru,How to Render Millions of Objects in Blender,https://www.youtube.com/watch?v=CQ9VmCN2EsE,Beginner Guides (Beginner Guides),16309834,2020-08-10,11:38,698,24.82,53.37,-15.87,,
Blender Guru,Beginner Blender 4.0 Tutorial (2023),https://www.youtube.com/watch?v=B0J27sf9N1Y,Beginner Guides (Beginner Guides),10361994,2024-08-09,17:56,1076,38.07,55.92,-12.29,,
Blender Guru,Blender 3.0 Beginner Tutorial - Part 1,https://www.youtube.com/watch?v=nIoXOplUvAw,Beginner Guides (Beginner Guides),9291047,2022-08-10,16:42,1002,30.44,52.94,0.51,,
CG Geek,How to Animate 3D Characters in 1 Minute,https://www.youtube.com/watch?v=TjJLIuFKA20,3D Animation & Motion (3D Animation & Motion),6317934,2020-08-10,01:00,60,-52.21,17.0,-37.04,,
Blendy Craft,The Most Satisfying Simulations of 2025 🤯🔥 3D Physics Showcase,https://www.youtube.com/watch?v=H4ePSTpwEf8,Physics & Simulation (Physics & Simulation),5368550,2025-08-09,10:40,640,-58.15,5.83,-91.12,,
CrossMind Studio,Blender Day 1 - Absolute Basics - Introduction Series for Beginners ( 2025 Compatible),https://www.youtube.com/watch?v=At9qW8ivJ4Q,Beginner Guides (Beginner Guides),5329519,2020-08-10,01:22:19,4939,33.48,68.47,21.94,,
Blender Guru,Blender 3.0 Beginner Tutorial Part 2: Editing,https://www.youtube.com/watch?v=imdYIdv8F4w,Beginner Guides (Beginner Guides),4849556,2022-08-10,21:16,1276,28.9,64.48,2.69,,
Blender Guru,Beginner Blender 4.0 Tutorial - Part 2: Basic Modelling,https://www.youtube.com/watch?v=tBpnKTAc5Eo,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",4498055,2024-08-09,18:39,1119,89.29,27.89,5.7,,
PIXXO 3D,Tutorial: Blender MODELLING For Absolute Beginners - Simple Human,https://www.youtube.com/watch?v=9xAumJRKV6A,3D Modeling & Sculpting (3D Modeling & Sculpting),4075590,2021-08-10,35:17,2117,55.78,-100.83,41.72,,
Blender Guru,Beginner Blender 4.0 Tutorial (2023),https://www.youtube.com/watch?v=4haAdmHqGOw,Beginner Guides (Beginner Guides),3762465,2024-08-09,04:55:04,17704,38.07,55.92,-12.29,,
