autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Ben Claremont,DaVinci Resolve Beginners Tutorial: Edit like a PRO for FREE!,https://www.youtube.com/watch?v=SrJOE2pEp7A,"Beginner Guides (Beginner Guides, Cut & Edit Page Workflows)",4767967,2024-08-09,12:26,746,-37.99,61.23,75.29,,
Justin Brown - Primal Video,DaVinci Resolve - COMPLETE Tutorial for Beginners!,https://www.youtube.com/watch?v=63Ln33O4p4c,"Beginner Guides (Beginner Guides, Cut & Edit Page Workflows)",3479717,2020-08-10,34:36,2076,-27.32,84.73,89.56,,
Kevin Stratvert,DaVinci Resolve 18 Tutorial for Beginners,https://www.youtube.com/watch?v=EEksPdEc7aI,Beginner Guides (Beginner Guides),2986100,2022-08-10,40:41,2441,21.05,35.16,-4.63,,
Casey Faris,Introduction to DaVinci Resolve - [Full Course] for Beginners (2026),https://www.youtube.com/watch?v=MCDVcQIA3UM,Beginner Guides (Beginner Guides),2690039,2025-08-09,05:10:55,18655,20.53,63.56,-35.37,,
Gaku Lange,Slide Transition TUTORIAL - How to SPEED RAMP Creatively,https://www.youtube.com/watch?v=kmnYxvGxLVE,Beginner Guides (Beginner Guides),2363416,2025-08-09,06:11,371,84.44,50.53,13.74,,
Film Riot,Color Grading 101 - Everything You Need to Know,https://www.youtube.com/watch?v=pAh83khT1no,Color Grading & Wheels (Color Grading & Wheels),2069592,2022-08-10,17:42,1062,-8.06,-62.97,-12.46,,
Kevin Stratvert,DaVinci Resolve 17 Tutorial for Beginners,https://www.youtube.com/watch?v=UguJiz9AYM8,Cut & Edit Page Workflows (Cut & Edit Page Workflows),1658535,2021-08-10,32:28,1948,-68.82,79.15,0.65,,
Daniel Batal,DaVinci Resolve for COMPLETE NOOBS!,https://www.youtube.com/watch?v=vMCq6Fd-Zas,Beginner Guides (Beginner Guides),1158281,2023-08-10,34:32,2072,15.68,24.47,-22.59,,
Jamie Fenn,My Secret To Smooth Speed Ramping Transitions in Davinci Resolve,https://www.youtube.com/watch?v=ley0hp5__tY,Beginner Guides (Beginner Guides),1117582,2023-08-10,08:04,484,108.51,9.97,-3.42,,
Casey Faris,RESOLVE 18 CRASH COURSE - Davinci Resolve 18 Walkthrough [BEGINNER],https://www.youtube.com/watch?v=h9MrEaELl2M,Beginner Guides (Beginner Guides),1104881,2022-08-10,01:42:30,6150,36.57,35.96,-10.74,,
Blackmagic Design,DaVinci Resolve 15 - The Art of Color Grading,https://www.youtube.com/watch?v=jo0YcNRlrNA,Color Grading & Wheels (Color Grading & Wheels),1087820,2019-08-11,01:56:31,6991,-15.08,-60.52,-32.92,,
Enam Alamin,Make the Smooth SPEED RAMPING Transitions without Gimbal (Step by Step),https://www.youtube.com/watch?v=n7uieO_hWqY,Beginner Guides (Beginner Guides),912466,2023-08-10,06:39,399,112.61,-6.58,-3.82,,
Color Grading Central,Teal and Orange Secret in Seconds (No LUTs),https://www.youtube.com/watch?v=Nv-8hFNstWs,Color Grading & Wheels (Color Grading & Wheels),867162,2020-08-10,07:34,454,-44.89,-46.62,-18.8,,
VIDEOBRO by Juan Moreno,FAST AND EASY! 🔥 How to EDIT VIDEOS in DAVINCI RESOLVE 20 🔥 BEGINNER'S TUTORIAL,https://www.youtube.com/watch?v=mo3Vve7VQ-E,Beginner Guides (Beginner Guides),856226,2021-08-10,16:05,965,21.59,78.49,2.69,,
Jeven Dovey,CINEMATIC Color Grading BEGINNERS GUIDE,https://www.youtube.com/watch?v=KTul78zjL64,Color Grading & Wheels (Color Grading & Wheels),849583,2019-08-11,12:12,732,-36.16,-87.87,-14.35,,
Justin Brown - Primal Video,DaVinci Resolve - COMPLETE Tutorial For Beginners!,https://www.youtube.com/watch?v=x5mi55JPIQU,Beginner Guides (Beginner Guides),818755,2024-08-09,37:32,2252,5.26,36.44,-14.65,,
Jamie Fenn,Best Speed Ramp Rewind Effect In 60 Seconds - Davinci Resolve,https://www.youtube.com/watch?v=Q39Z35w8m84,Beginner Guides (Beginner Guides),817444,2023-08-10,01:13,73,83.59,81.59,-18.77,,
Think Media,How to Edit A Video in DaVinci Resolve! (Start to Finish),https://www.youtube.com/watch?v=LcGsaIV8QBY,Beginner Guides (Beginner Guides),815759,2024-08-09,35:12,2112,9.71,62.27,38.95,,
Howfinity,DaVinci Resolve 19 - Complete Beginner Tutorial,https://www.youtube.com/watch?v=CRn9djvs2LE,"Beginner Guides (Beginner Guides, Cut & Edit Page Workflows)",815745,2024-08-09,24:22,1462,-20.05,77.36,100.29,,
Matti Haapoja,"How To Color Grade //  Fast, Easy & Cinematic",https://www.youtube.com/watch?v=huMGyDnq0bk,Fairlight Audio Mixing (Fairlight Audio Mixing),794120,2022-08-10,16:40,1000,-26.29,-7.27,-111.68,,
RBG Escuela,10 FIRST STEPS to GET STARTED with DAVINCI RESOLVE 20,https://www.youtube.com/watch?v=bgTrgBOyVEM,Beginner Guides (Beginner Guides),678148,2025-08-09,46:37,2797,4.65,3.53,-15.73,,
FINEST EDIT ACADEMY,😱Learn Davinci Resolve in Just 10 MINS ( Masterclass )Davinci Resolve 18 Tutorial for Beginners 2024,https://www.youtube.com/watch?v=uYlEUCM2V-U,Beginner Guides (Beginner Guides),644198,2024-08-09,09:54,594,-19.01,29.46,-41.37,,
Subtle Motion,The Easiest Way to Color Grade your Footage | Davinci Resolve + Dehancer Film Emulation,https://www.youtube.com/watch?v=bR_4i5FBaA4,Color Grading & Wheels (Color Grading & Wheels),627201,2025-08-09,09:03,543,-28.24,-117.99,-11.72,,
