autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Envato Tuts+,Adobe Illustrator for Beginners | FREE COURSE,https://www.youtube.com/watch?v=Ib8UBwu3yGA,Beginner Guides (Beginner Guides),12161527,2020-08-10,42.81,-10.31,-20.59
Yes I'm a Designer,Learn to Draw Anything with Adobe Illustrator CC,https://www.youtube.com/watch?v=RbbQl2sU-ag,Vector Illustration & Drawing (Vector Illustration & Drawing),5158976,2017-08-11,3.7,-48.22,73.94
Flow Studio,Learn Illustrator in 5 MINUTES! Beginner Tutorial,https://www.youtube.com/watch?v=3GzumUieDPY,Beginner Guides (Beginner Guides),4428229,2018-08-11,81.03,22.97,-9.97
Andy Tells Things,Adobe Illustrator for Beginners: Get Started in 10 Minutes,https://www.youtube.com/watch?v=3NBKRywEbNs,Beginner Guides (Beginner Guides),4059362,2023-08-10,68.27,-15.66,22.18
TheVectorLab,Illustrator Tutorial: Create a Vector Logo from a Rough Sketch,https://www.youtube.com/watch?v=qSkhaLNKdX0,"Vector Illustration & Drawing (Vector Illustration & Drawing, Logo Design & Branding)",3766336,2020-08-10,-9.7,20.45,111.92
Dom Designs,Adobe Illustrator Tutorial: Create a Vector Pizza from Sketch (HD),https://www.youtube.com/watch?v=KZP6RQu_F6U,Vector Illustration & Drawing (Vector Illustration & Drawing),3288325,2021-08-10,16.31,5.28,90.64
Spoon Graphics,How To Create Custom Type Designs in Adobe Illustrator,https://www.youtube.com/watch?v=Rt15_OclsyI,Typography & Text Effects (Typography & Text Effects),2945502,2017-08-11,-13.06,80.88,29.68
Shantanu Kumar,How to Design a Logo - From Start to Finish.,https://www.youtube.com/watch?v=TF4_T7yMTOA,"Beginner Guides (Beginner Guides, Logo Design & Branding)",2778693,2021-08-10,-6.12,9.5,-33.73
Envato Tuts+,Mastering Logo Design in Adobe Illustrator,https://www.youtube.com/watch?v=YycxaAK2MZ4,Logo Design & Branding (Logo Design & Branding),2681181,2017-08-11,9.35,-30.97,-87.54
Ben Marriott,Illustrator to After Effects ft. Burnt Toast - Animation Workflow & Tutorial,https://www.youtube.com/watch?v=WSwkvZVvsj0,Beginner Guides (Beginner Guides),2537307,2019-08-11,36.33,3.1,38.77
Spoon Graphics,How To Cut Anything Out in Photoshop,https://www.youtube.com/watch?v=creV_oVjwsc,Beginner Guides (Beginner Guides),1977948,2015-08-12,85.65,57.32,9.85
