autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Tinkernut,Beginners Guide to Projection Mapping,https://www.youtube.com/watch?v=skU3T8bgEIM,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",741452,2014-08-12,85.34,-9.15,65.65
FX Projections,Projection Mapping Tutorial,https://www.youtube.com/watch?v=B9lpe_RQxYg,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),410541,2023-08-10,8.62,3.6,77.6
Motion by Nick (Nick Greenawalt),Learn VIRAL projection mapping in 10 minutes (beginner),https://www.youtube.com/watch?v=BCKEYrCfvHs,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",321354,2026-01-11,57.85,-24.77,43.09
Luma Box,After Effects Projection Mapping Beginner's Tutorial,https://www.youtube.com/watch?v=X6CYgIHuof8,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",302830,2020-08-10,86.58,-3.57,42.77
Interactive solution Expert,How to use projection mapping software to create an immersive room?,https://www.youtube.com/watch?v=osYL-BCwYWU,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),248158,2024-08-09,-1.42,-15.53,120.0
SIRS Electronics Inc,How to Set Up Madrix Software Using DMX LED Strip,https://www.youtube.com/watch?v=4wIvzMlRkT0,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",216572,2014-08-12,-101.87,-10.31,5.47
Luma Box,Projection Mapping Tutorial - 3d Mapping with MadMapper,https://www.youtube.com/watch?v=1Typv7KxBRM,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),214473,2019-08-11,-8.17,-2.54,68.26
Lucinda Dilworth,Projection mapping setup,https://www.youtube.com/watch?v=fKPsgA8qW4s,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",174124,2024-08-09,66.75,-19.03,64.4
MadMapper The Mapping Software,One Projector — MADTutorial Basics,https://www.youtube.com/watch?v=VPcMOzzRmZI,Beginner Guides (Beginner Guides),134874,2017-08-11,45.48,23.89,-28.9
Buskirk Creative,MadMapper Tutorial - Part 1: Introduction,https://www.youtube.com/watch?v=MlKtvh1f-jw,Beginner Guides (Beginner Guides),130750,2016-08-11,19.98,-21.77,-70.64
Luma Box,Get Started: LumaMap AI Projection Mapping Beginner Tutorial,https://www.youtube.com/watch?v=cZ7tuWDYc8I,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",101784,2025-08-09,91.6,-23.33,33.88
SuperLightingLED,BC-204 Art-net DMX Mardix Control SPI Digital LED Strips,https://www.youtube.com/watch?v=d7hEh69_Jvs,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",100807,2021-08-10,-108.1,-53.24,15.79
Luma Box,MadMapper Scenes & Cues Projection Mapping Tutorial | Cake Mapping Examples,https://www.youtube.com/watch?v=rXennwOHXXQ,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),99890,2019-08-11,-10.31,15.81,104.76
