autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
dude837,Delicious Max/MSP Tutorial 1: Karplus-Strong,https://www.youtube.com/watch?v=5RYy8Cvgkqk,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),164527,2011-08-13,-72.04,-64.29,-21.17
Cycling '74,Take a Tour of Max 6,https://www.youtube.com/watch?v=cSatrZW4XLI,Beginner Guides (Beginner Guides),141184,2012-08-12,69.11,-13.13,1.8
dude837,Delicious Max/MSP Tutorial 2: Step Sequencer,https://www.youtube.com/watch?v=hYc2a1ONTck,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Generative Music & Algorithms)",105902,2011-08-13,-109.95,2.35,-22.89
Joel Rich,Max MSP Beginner Tutorial 1,https://www.youtube.com/watch?v=BSA9fYLqDCU,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",97925,2011-08-13,85.58,-80.33,-14.44
Cycling '74,Cycling74 Max/MSP/Jitter Tutorials: Polyphonic Synth,https://www.youtube.com/watch?v=y0mcWhrFrEY,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",93032,2011-08-13,4.7,35.37,18.33
LNA Does Audio Stuff,Getting Started With Max For Live,https://www.youtube.com/watch?v=3tYGaR-2pUg,"Beginner Guides (Beginner Guides, Max for Live Integration)",92067,2021-08-10,61.44,-83.19,36.66
dude837,Delicious Max/MSP Tutorial 7: Pitch shifting,https://www.youtube.com/watch?v=uyzY_ZP54pA,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),89101,2011-08-13,-89.53,-33.32,1.47
dude837,Delicious Max/MSP Tutorial 10: Dubstep Wobble Bass!,https://www.youtube.com/watch?v=E_qrk2hE__s,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),88918,2011-08-13,-108.78,-66.77,-22.2
dude837,Delicious Max/MSP Tutorial 4: Vocoder,https://www.youtube.com/watch?v=4feOFLX6238,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),80222,2011-08-13,-71.72,-52.22,-10.45
Ableton Kurse,How to install and import Max for Live devices in your User Library in Ableton Live,https://www.youtube.com/watch?v=Z2VOXsrsecw,"Beginner Guides (Beginner Guides, Max for Live Integration)",66634,2022-08-10,72.09,-68.39,48.17
ELPHNT,"Learn How To Build Max For Live Devices, A Beginner's Guide (Ableton User Group, Cape Town)",https://www.youtube.com/watch?v=eeJikVQc2xI,"Beginner Guides (Beginner Guides, Max for Live Integration)",63274,2024-08-09,69.27,-54.56,50.94
Andrew Robinson,Max MSP -- The Absolute Basics (Tutorial video pt 1),https://www.youtube.com/watch?v=S7d9TIckXrY,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",62843,2020-08-10,73.55,-85.79,-43.96
dude837,Delicious Max/MSP Tutorial 12: Pfft~ is your friend,https://www.youtube.com/watch?v=69A1kGNFYIc,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),60310,2012-08-12,-64.34,-65.9,-9.29
Cycling '74,Cycling74 Vizzie Tutorials: Quickstart - 1,https://www.youtube.com/watch?v=z4TfdPHrbgg,Jitter & 3D Visuals (Jitter & 3D Visuals),58924,2011-08-13,-7.97,38.6,39.35
Cycling '74,What is Max?,https://www.youtube.com/watch?v=MeSus3yxfaw,Beginner Guides (Beginner Guides),56694,2012-08-12,57.98,-2.65,0.64
Programming for People,MAX msp 7: Sending data from arduino into Max,https://www.youtube.com/watch?v=6bT3G4Mep7E,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, MIDI & Serial Hardware)",56164,2016-08-11,-49.51,-88.52,38.1
David Cooper,Max/MSP Tutorial: how to make a generative drum machine,https://www.youtube.com/watch?v=IYAwtRxZiAY,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Generative Music & Algorithms)",55399,2020-08-10,-120.0,21.85,-43.57
Sound Simulator,Max Or Pure Data? Choosing An Audio Programming Language,https://www.youtube.com/watch?v=s7Gv7SR0Nrk,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),54273,2021-08-10,-44.27,-99.76,-3.27
dude837,Delicious Max 6 Tutorial 20: Kick Drum Synthesis,https://www.youtube.com/watch?v=rB4McEGjePk,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),51823,2012-08-12,-84.79,-39.26,-24.37
dude837,Delicious Max 8 Tutorial 1: The New Ceiling,https://www.youtube.com/watch?v=8OhOC6rZC9Q,Beginner Guides (Beginner Guides),49488,2019-08-11,43.78,-39.79,16.59
Andrew Robinson,Intro to Max MSP Audio Tutorial -- pt 1,https://www.youtube.com/watch?v=XBVTh6X9Jw4,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",47491,2021-08-10,88.35,-78.55,-30.92
dude837,Delicious Max/MSP Tutorial 14: WTF is an Autechre? -- Not this,https://www.youtube.com/watch?v=dkf87DJhG-4,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),46716,2012-08-12,-66.08,-34.04,-11.01
dude837,Delicious Max/MSP Tutorial 5: Boomerang!,https://www.youtube.com/watch?v=3KKX6ni0oQE,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),45639,2011-08-13,-57.03,-52.91,-13.72
Ableton,Gen: Inside Max's Secret Weapon with Cycling '74 | Loop,https://www.youtube.com/watch?v=eDYs2UZzhI4,Gen~ Low-Level Coding (Gen~ Low-Level Coding),44004,2020-08-10,25.1,15.02,-106.89
dude837,Delicious Max/MSP Tutorial 3: Stutter Effect,https://www.youtube.com/watch?v=hcVlPpaG4qQ,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",41741,2011-08-13,3.9,72.31,22.04
Andrew Robinson,Max MSP Tutorial: How to create a Generative Drum Machine,https://www.youtube.com/watch?v=j1ySd99uXkM,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis, Generative Music & Algorithms)",39338,2023-08-10,-48.54,105.26,-3.22
Hearing Glass | Umut Eldem,Visualising the Audio Spectrum in 3D - Max/MSP Tutorial,https://www.youtube.com/watch?v=QMwMO_2V6V4,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",37653,2022-08-10,2.17,76.28,-7.72
tune4media,Max | Designing your own Reverb (with gen~) [Full Lesson],https://www.youtube.com/watch?v=F_FhvxT5mLA,Gen~ Low-Level Coding (Gen~ Low-Level Coding),36642,2020-08-10,39.57,4.31,-83.31
Cycling '74,Welcome to Max 9,https://www.youtube.com/watch?v=XZNu1Lcj9js,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),36173,2025-08-09,-59.46,-77.67,-22.9
Cycling '74,Cycling74 Max/MSP/Jitter Tutorials: Play a Movie,https://www.youtube.com/watch?v=VXTxZUsFIuY,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",35953,2011-08-13,-26.35,32.25,13.07
dude837,Delicious Max 6 Tutorial 27: Live Visuals,https://www.youtube.com/watch?v=gP1ybRozQQY,"Max for Live Integration (Max for Live Integration, MIDI & Serial Hardware)",34070,2014-08-12,9.02,-44.97,79.95
Amazing Max Stuff,Max4Live | Audio-Reactive Visuals Impro Coding | 01,https://www.youtube.com/watch?v=BNMj8hJ3C7A,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),33849,2020-08-10,-26.06,-94.12,-29.08
Eric Ameres (eraserMice),M4L : Basic Max MIDI Synth in 1 minute! Pt 1 : Learn to build Max for Ableton live synths & devices!,https://www.youtube.com/watch?v=W2uUbKaZ_9E,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Max for Live Integration, MIDI & Serial Hardware)",32967,2011-08-13,-20.78,-57.52,49.62
oliver thurley,"Introduction to JITTER, pt.1: The Matrix (or, live visuals in Max MSP)",https://www.youtube.com/watch?v=Rn1nImut6Pk,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis, Max for Live Integration)",32348,2022-08-10,75.48,-76.71,11.79
Ned Rush,Max MSP Tutorial - Audio Reactive Mesh = Ned Rush,https://www.youtube.com/watch?v=nhLVLCK_90o,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",32160,2022-08-10,-25.19,97.94,24.86
Ned Rush,Max Tutorial - Glitchy 3D visuals = Ned Rush,https://www.youtube.com/watch?v=C8UvVGomEx4,Jitter & 3D Visuals (Jitter & 3D Visuals),31990,2017-08-11,-15.68,89.32,45.0
Sound Simulator,Arduino To Max/MSP (Tutorial),https://www.youtube.com/watch?v=ftDtsSHU2UM,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, MIDI & Serial Hardware)",31725,2021-08-10,-74.61,-78.54,55.34
Chris Core,Max/MSP generative music and rhythm program,https://www.youtube.com/watch?v=Y70lAm6SfLM,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis, Generative Music & Algorithms)",28968,2010-08-13,-61.32,93.27,-2.64
Cycling '74,gen~ for Beginners: Getting Started in Max 6,https://www.youtube.com/watch?v=7iiekKzFstU,"Beginner Guides (Beginner Guides, Gen~ Low-Level Coding)",28677,2013-08-12,27.23,-9.79,-42.29
ZeroPoint Zero,Creating Random glitch generator in Max/msp.,https://www.youtube.com/watch?v=pDJawGXv9Yk,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Generative Music & Algorithms)",28500,2023-08-10,-108.83,50.91,-41.38
Programming for People,MAX msp 7: Passing data from MAX to Arduino,https://www.youtube.com/watch?v=68L-WHh3Ows,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, MIDI & Serial Hardware)",27776,2016-08-11,-42.27,-84.15,52.06
dude837,Delicious Max 6 Tutorial 22: Video Reverb,https://www.youtube.com/watch?v=sNr--9LO72k,Jitter & 3D Visuals (Jitter & 3D Visuals),27522,2013-08-12,-5.42,108.87,59.15
Sound Simulator,Let’s Create a Ribbon Synth! (Arduino + Max/MSP Or Pure Data),https://www.youtube.com/watch?v=Cdc2U2_qrhk,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, MIDI & Serial Hardware)",27321,2021-08-10,-43.38,-104.14,53.11
Andrew Robinson,Sample Slicer Tutorial -- Max MSP Tutorial,https://www.youtube.com/watch?v=E0bTX5frBbI,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),27308,2021-08-10,-73.99,-65.32,6.27
dude837,Delicious Max/MSP Tutorial 7: Pitch Shifting (Part 2),https://www.youtube.com/watch?v=4G3mFBj1UZA,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),26795,2011-08-13,-78.49,-27.28,7.25
Andrew Robinson,Max MSP Tutorial -- Intro to Jitter - pt 1,https://www.youtube.com/watch?v=S0Uqe6xTgjk,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",24882,2021-08-10,85.79,-64.55,-25.65
Cycling '74,Cycling74 Max/MSP/Jitter Tutorials: pattr #1 Quick Start,https://www.youtube.com/watch?v=wRCCYjBMTFA,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",24621,2011-08-13,105.83,-88.53,-19.22
zlatkong,Generative Soundscape in Max/MSP - randomised triggering and crossfaded looping,https://www.youtube.com/watch?v=SSxpCeFB81o,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Generative Music & Algorithms)",24281,2020-08-10,-94.76,10.77,-57.05
dude837,Delicious Max Tutorial 70: jit.mo,https://www.youtube.com/watch?v=Klh9Hw-rJ1M,Jitter & 3D Visuals (Jitter & 3D Visuals),24076,2017-08-11,21.47,91.23,73.42
dude837,Delicious Max/MSP Tutorial 7: Pitch Shifting (Part 3),https://www.youtube.com/watch?v=zEJ309kY-q0,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),24020,2011-08-13,-83.01,-40.43,11.3
Hearing Glass | Umut Eldem,Chaotic Sounds - Max/MSP Tutorial,https://www.youtube.com/watch?v=EwunJYwxNcs,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",23049,2023-08-10,-3.29,59.4,-0.45
dude837,Delicious Max/MSP Tutorial 6: Let's build a TB-303! (Part 1),https://www.youtube.com/watch?v=UQh0-niMnt4,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),22718,2011-08-13,-105.57,-61.37,10.1
xlfph,MaxMSP tutorial: 4 easy delays with tapin~ & tapout~,https://www.youtube.com/watch?v=JoElwILrLKI,Beginner Guides (Beginner Guides),22350,2020-08-10,23.75,-1.67,-2.82
ZeroPoint Zero,Creating generative ambient patch in Max8.3.1,https://www.youtube.com/watch?v=jSz0031K2mI,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Generative Music & Algorithms)",21985,2022-08-10,-100.32,38.17,-52.45
Graham Wakefield,Oopsy: Daisy from gen~ in Max/MSP,https://www.youtube.com/watch?v=fbd1CASqUmI,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Gen~ Low-Level Coding)",21978,2021-08-10,-22.27,-4.44,-93.73
Zdrewe,I Tested 130+ Max for Live Devices - Only THESE Are Worth It,https://www.youtube.com/watch?v=5R6JwaV1vEI,Max for Live Integration (Max for Live Integration),21664,2025-12-12,5.72,-17.11,102.67
toneparticle,Max/MSP Tutorial: Building a granular synthesiser in Max with mc objects and gen~,https://www.youtube.com/watch?v=rbeLoYrdyPc,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Gen~ Low-Level Coding)",21278,2021-08-10,13.75,-19.99,-115.68
oliver thurley,Getting Started~ a beginners' guide to Max MSP (2025),https://www.youtube.com/watch?v=oNpi9Y7w4D8,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",20797,2025-09-13,83.17,-104.37,2.41
Hearing Glass | Umut Eldem,Multichannel Soundscapes & Panning - Max/MSP Tutorial,https://www.youtube.com/watch?v=b5i2HnJZQkY,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",20489,2021-08-10,23.62,64.44,7.14
dude837,Delicious Max Tutorial 71: jit.mo.field,https://www.youtube.com/watch?v=XVS_DnmRZBk,Jitter & 3D Visuals (Jitter & 3D Visuals),20172,2017-08-11,12.18,97.61,71.81
Amazing Max Stuff,MC in Max/MSP | 03 - Granular Synthesizer Part One,https://www.youtube.com/watch?v=YnROTQAQW_I,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",19969,2021-08-10,98.13,-96.79,-40.36
Cycling '74,Practical Max 1-A,https://www.youtube.com/watch?v=CSopUi9-pUg,Jitter & 3D Visuals (Jitter & 3D Visuals),19930,2011-08-13,-3.16,57.36,58.93
Programming for People,Max MSP Request:  Serial Arduino Live Data Stream,https://www.youtube.com/watch?v=tOPObpGnrIA,"MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis, Max for Live Integration, MIDI & Serial Hardware)",19705,2016-08-11,-31.77,-70.5,40.89
badassaxeman0,Arduino MaxMSP Guitar,https://www.youtube.com/watch?v=xgoW0PmoF1w,MIDI & Serial Hardware (MIDI & Serial Hardware),18883,2012-08-12,-3.88,-107.04,65.92
SSU Music Tech,Max MSP Tutorial: One Oscillator Synth,https://www.youtube.com/watch?v=9iZFmVyWamI,"Jitter & 3D Visuals (Jitter & 3D Visuals, MSP Audio DSP & Synthesis)",18491,2020-08-10,11.64,46.7,2.83
Kathy Hinde,Simple Video mixer in MaxMSP Jitter,https://www.youtube.com/watch?v=rfjz5kkUS8A,Jitter & 3D Visuals (Jitter & 3D Visuals),18350,2014-08-12,2.23,115.18,36.24
dude837,Delicious Max/MSP Tutorial 13: Coll of Duty,https://www.youtube.com/watch?v=4VvCye3CytU,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),18312,2012-08-12,-87.85,-57.44,-12.05
Hearing Glass | Umut Eldem,Spectral Freeze - Max/MSP Tutorial,https://www.youtube.com/watch?v=Eli51HS7gwU,MSP Audio DSP & Synthesis (MSP Audio DSP & Synthesis),18147,2023-08-10,-41.84,-57.77,-1.83
Andrew Robinson,Max MSP Tutorial - MIDI &Sequencing - Intro to Audio pt 2,https://www.youtube.com/watch?v=Ivo2Ti7ecTo,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals, MSP Audio DSP & Synthesis, MIDI & Serial Hardware)",18031,2021-08-10,55.56,-117.0,5.59
dearjohnreed,Max 7 Tutorial # 34: Intro to Jitter,https://www.youtube.com/watch?v=e7LsMVxekL8,"Beginner Guides (Beginner Guides, Jitter & 3D Visuals)",17929,2015-08-12,95.26,-47.97,-15.57
