autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Envato Tuts+,Photoshop for Beginners | FREE COURSE,https://www.youtube.com/watch?v=IyR_uYsRdPs,Beginner Guides (Beginner Guides),15861533,2020-08-10,03:07:01,11221,19.58,-0.01,-13.81,,
Alec Markarian,Adobe Photoshop Tutorial : The Basics for Beginners,https://www.youtube.com/watch?v=pFyOznL9UvA,Beginner Guides (Beginner Guides),12186203,2016-08-11,36:56,2216,16.79,3.1,32.68,,
Photoshop Tutorials by Webflippy,Glow Effect - Photoshop Tutorial | Glowing Effect,https://www.youtube.com/watch?v=uOUXDipWeN8,Beginner Guides (Beginner Guides),7954140,2021-08-10,09:48,588,68.46,49.5,-2.31,,
PiXimperfect,Photoshop for Complete Beginners | Lesson 1,https://www.youtube.com/watch?v=xTzvQkOll2U,Beginner Guides (Beginner Guides),6342778,2023-08-10,45:33,2733,0.11,-13.63,0.55,,
PiXimperfect,High-End Skin Softening in 1 Minute or Less in Photoshop,https://www.youtube.com/watch?v=89AowdLeZUA,Photo Retouching & Beauty (Photo Retouching & Beauty),5800156,2017-08-11,07:38,458,6.09,-14.08,103.9,,
Yes I'm a Designer,From Sketch to AI Art: My Workflow With Adobe Firefly's Image Generator,https://www.youtube.com/watch?v=LQAoVppCDY4,Generative AI & Firefly (Generative AI & Firefly),5673282,2025-09-13,06:25,385,-41.8,17.04,-41.52,,
LetsPhotoshop,Double Exposure Effect - Photoshop Tutorial,https://www.youtube.com/watch?v=iOYz669WNpU,Beginner Guides (Beginner Guides),5290251,2017-08-11,06:17,377,119.73,0.61,-2.78,,
Vince Opra,Photoshop Tutorial for Beginners 2022 | Everything You NEED to KNOW!,https://www.youtube.com/watch?v=61mkx_OV61s,Beginner Guides (Beginner Guides),4945883,2021-08-10,16:13,973,-16.62,30.51,36.3,,
Blue Lightning,"Photoshop Tutorial: How to Create a Powerful, Text Portrait Poster",https://www.youtube.com/watch?v=fj_iwNgv8aQ,"Photo Retouching & Beauty (Photo Retouching & Beauty, Text Effects & Typography, Mockups & Branding)",4172156,2015-08-12,11:06,666,-77.43,-8.31,55.61,,
PHLEARN,The Amazing Power of Frequency Separation Retouching in Photoshop,https://www.youtube.com/watch?v=ldhG9fmgC7o,Photo Retouching & Beauty (Photo Retouching & Beauty),3930610,2014-08-12,14:08,848,12.36,10.78,98.53,,
