autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
GFXMentor,Before you Start Learning Adobe Premiere Pro CC Class 1 - Urdu / Hindi,https://www.youtube.com/watch?v=h6eeDgBjZq8,Beginner Guides (Beginner Guides),8422618,2019-08-11,22:20,1340,-65.32,-31.97,0.01,,
Cinecom.net,ROTATION REVEAL in PREMIERE PRO (Maroon 5 - Girls Like You),https://www.youtube.com/watch?v=gjN500LQqek,Video Editing & Cutting (Video Editing & Cutting),8225280,2018-08-11,06:32,392,79.57,-9.94,-16.39,,
Cinecom.net,5 FAST & EASY VISUAL EFFECTS in Premiere Pro #01,https://www.youtube.com/watch?v=jg9UbgvnLuo,Video Editing & Cutting (Video Editing & Cutting),6333000,2018-08-11,06:49,409,84.21,42.29,-10.36,,
Taran Van Hemert,World's Most Advanced Video Editing Tutorial (Premiere Pro) - Editing LTT from start to finish,https://www.youtube.com/watch?v=O6ERELse_QY,"Beginner Guides (Beginner Guides, Video Editing & Cutting)",4562702,2018-08-11,04:19:06,15546,-67.36,35.27,44.97,,
Color Grading Central,Color Grading in Premiere Pro CC - Get Pro Film Look,https://www.youtube.com/watch?v=RvFCnVRcT3Q,Color Grading & Lumetri (Color Grading & Lumetri),4374359,2020-08-10,16:52,1012,5.57,-93.08,-27.03,,
Peter McKinnon,THE BUCKET SHOT,https://www.youtube.com/watch?v=r25IWquxe9s,Beginner Guides (Beginner Guides),3861846,2019-08-11,23:17,1397,-49.46,-0.54,-20.52,,
Vince Opra,Premiere Pro Tutorial for Beginners 2022 - Everything You NEED to KNOW!,https://www.youtube.com/watch?v=jTCxUXGM6tc,"Beginner Guides (Beginner Guides, Video Editing & Cutting)",3651260,2021-08-10,17:21,1041,-76.09,31.35,22.48,,
Peter McKinnon,Awesome TRANSITIONS to make your videos BETTER!! Premiere Pro Tutorial,https://www.youtube.com/watch?v=oF0tfqIx4cc,Transitions & Ramping (Transitions & Ramping),3499297,2017-08-11,13:55,835,-0.89,37.24,-87.51,,
Peter McKinnon,Make your footage look Cinematic FAST! Premiere Pro Tutorial,https://www.youtube.com/watch?v=GYud_W7Ou9E,Beginner Guides (Beginner Guides),3424798,2017-08-11,16:05,965,-40.13,-50.53,-27.62,,
Cinecom.net,5 FAST & EASY VISUAL EFFECTS in Premiere Pro,https://www.youtube.com/watch?v=4ZdZQEkN_5k,Video Editing & Cutting (Video Editing & Cutting),3331127,2019-08-11,07:53,473,75.74,35.45,-8.58,,
Peter McKinnon,How to CLONE yourself!!,https://www.youtube.com/watch?v=B3AqxXYBm28,Beginner Guides (Beginner Guides),2952339,2017-08-11,11:46,706,-31.59,-12.47,-30.58,,
Peter McKinnon,10 PREMIERE PRO tips you SHOULD KNOW! Tutorial from Beginner to Pro,https://www.youtube.com/watch?v=KnWhWVarfqM,Beginner Guides (Beginner Guides),2876229,2019-08-11,17:35,1055,-73.98,2.8,1.88,,
Nathan Jeffers,Adobe Premiere Pro CC - Basic Editing for Beginners,https://www.youtube.com/watch?v=PYTPXsMkYDE,Video Editing & Cutting (Video Editing & Cutting),2775579,2017-08-11,12:17,737,69.05,2.27,36.46,,
