autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
freeCodeCamp.org,Learn Python - Full Course for Beginners [Tutorial],https://www.youtube.com/watch?v=rfscVS0vtbw,Beginner Guides (Beginner Guides),49085569,2018-08-11,04:26:52,16012,39.99,-30.81,-35.26,,
Programming with Mosh,Python Full Course for Beginners,https://www.youtube.com/watch?v=_uQrJ0TkZlc,"Beginner Guides (Beginner Guides, Machine Learning)",48562605,2019-08-11,06:14:07,22447,-35.57,75.3,-20.38,,
Programming with Mosh,Python for Beginners - Learn Coding with Python in 1 Hour,https://www.youtube.com/watch?v=kqtD5dpn9C8,"Beginner Guides (Beginner Guides, Machine Learning)",24919014,2021-08-10,01:00:06,3606,-24.29,66.75,-5.49,,
CodeWithHarry,Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,https://www.youtube.com/watch?v=UrsmFxEIp5k,Data Science (Data Science),22873214,2024-08-09,10:53:54,39234,0.99,38.19,80.24,,
Bro Code,Python Full Course for free 🐍,https://www.youtube.com/watch?v=XKHEtdqhLK8,Beginner Guides (Beginner Guides),22053964,2021-08-10,12:00:00,43200,52.68,-34.47,22.11,,
Programming with Mosh,Java Full Course for Beginners,https://www.youtube.com/watch?v=eIrMbAQSU34,Beginner Guides (Beginner Guides),14205783,2019-08-11,02:30:48,9048,39.03,-17.82,1.07,,
Apna College,Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),https://www.youtube.com/watch?v=ERCMXc8x7mc,"Beginner Guides (Beginner Guides, Machine Learning)",13114691,2024-08-09,10:24:51,37491,-53.34,70.99,-16.94,,
Bro Code,Python Full Course for free 🐍,https://www.youtube.com/watch?v=ix9cRaBkVe0,Beginner Guides (Beginner Guides),11349308,2025-08-09,12:00:00,43200,56.24,-44.92,17.06,,
Programming with Mosh,HTML Tutorial for Beginners: HTML Crash Course,https://www.youtube.com/watch?v=qz0aGYrrlhU,Beginner Guides (Beginner Guides),11017054,2021-08-10,01:09:33,4173,30.64,11.7,-13.93,,
freeCodeCamp.org and Kylie Ying,Machine Learning for Everybody – Full Course,https://www.youtube.com/watch?v=i_LwzRVP7bg,"Beginner Guides (Beginner Guides, Machine Learning)",10262308,2023-08-10,03:53:53,14033,-32.31,70.87,-36.4,,
CS Dojo,Python Tutorial for Absolute Beginners #1 - What Are Variables?,https://www.youtube.com/watch?v=Z1Yd7upQsXY,Beginner Guides (Beginner Guides),9475777,2018-08-11,24:38,1478,32.38,11.04,9.25,,
freeCodeCamp.org and CS50,Harvard CS50’s Introduction to Programming with Python – Full University Course,https://www.youtube.com/watch?v=nLRL_NcnK-4,Beginner Guides (Beginner Guides),8740965,2023-08-10,15:57:48,57468,10.03,-25.71,18.39,,
Error Makes Clever,Python Tutorial - Python Full Course for Beginners in Tamil,https://www.youtube.com/watch?v=m67-bOpOoPU,Beginner Guides (Beginner Guides),8097323,2023-08-10,09:38:04,34684,30.9,-16.72,-27.41,,
freeCodeCamp.org,Python for Everybody - Full University Python Course,https://www.youtube.com/watch?v=8DvywoWv6fI,Beginner Guides (Beginner Guides),7771959,2019-08-11,13:40:10,49210,-1.35,-34.28,18.89,,
Programming with Mosh,Python Full Course for Beginners,https://www.youtube.com/watch?v=K5KVEU3aaeQ,Beginner Guides (Beginner Guides),7147948,2025-08-09,02:02:20,7340,37.52,-24.9,-16.42,,
edureka!,Python Full Course - 12 Hours | Python For Beginners - Full Course | Python Tutorial | Edureka,https://www.youtube.com/watch?v=WGJJIrtnfpk,Beginner Guides (Beginner Guides),6916274,2020-08-10,11:56:22,42982,0.72,-3.77,-46.17,,
TechWorld with Nana,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],https://www.youtube.com/watch?v=t8pPdKYpowI,Beginner Guides (Beginner Guides),6821497,2021-08-10,05:31:29,19889,34.55,-20.47,-46.05,,
Soy Dalto,PYTHON course from ZERO (Complete),https://www.youtube.com/watch?v=nKPbfIU442g,Beginner Guides (Beginner Guides),5834818,2023-08-10,08:06:30,29190,99.27,-32.0,-0.44,,
freeCodeCamp.org,OpenCV Course - Full Tutorial with Python,https://www.youtube.com/watch?v=oXlwWbU8l2o,Beginner Guides (Beginner Guides),5537338,2021-08-10,03:41:42,13302,24.59,27.49,-35.69,,
Corey Schafer,Python OOP Tutorial 1: Classes and Instances,https://www.youtube.com/watch?v=ZDa-Z5JzLYM,OOP Programming (OOP Programming),5006132,2016-08-11,15:24,924,1.71,-53.4,100.79,,
freeCodeCamp.org and Kylie Ying,12 Beginner Python Projects - Coding Course,https://www.youtube.com/watch?v=8ext9G7xspg,Beginner Guides (Beginner Guides),4925496,2021-08-10,03:00:29,10829,22.97,5.46,-69.35,,
Programming with Mosh,"Object-Oriented Programming, Simplified",https://www.youtube.com/watch?v=pTB0EiLXUC8,OOP Programming (OOP Programming),4807142,2018-08-11,07:34,454,14.57,-34.59,81.75,,
freeCodeCamp.org,"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",https://www.youtube.com/watch?v=LHBE6Q9XlzI,Data Science (Data Science),4787904,2020-08-10,12:19:51,44391,-15.04,59.18,69.55,,
freeCodeCamp.org and Beau Carnes,Python for Beginners – Full Course [Programming Tutorial],https://www.youtube.com/watch?v=eWRfhZUzrAc,Beginner Guides (Beginner Guides),4677726,2022-08-10,04:39:59,16799,24.11,-30.91,-21.41,,
Kevin Stratvert,👩‍💻 Python for Beginners Tutorial,https://www.youtube.com/watch?v=b093aqAZiPU,Beginner Guides (Beginner Guides),4542765,2021-08-10,01:03:21,3801,43.34,-6.96,-19.63,,
freeCodeCamp.org,Intermediate Python Programming Course,https://www.youtube.com/watch?v=HGOBQPFzWKo,Beginner Guides (Beginner Guides),4447122,2021-08-10,05:55:46,21346,34.12,-48.05,-18.12,,
Corey Schafer,Python Tutorial for Beginners 1: Install and Setup for Mac and Windows,https://www.youtube.com/watch?v=YYXdXT2l-Gg,Beginner Guides (Beginner Guides),4252026,2017-08-11,15:28,928,2.71,-47.93,-52.81,,
freeCodeCamp.org,"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)",https://www.youtube.com/watch?v=r-uOLxNrNk8,"Beginner Guides (Beginner Guides, Data Science)",4164584,2020-08-10,04:22:13,15733,-39.57,63.16,78.26,,
Tech With Tim,Python Object Oriented Programming (OOP) - For Beginners,https://www.youtube.com/watch?v=JeznW_7DlB0,"Beginner Guides (Beginner Guides, OOP Programming)",4005137,2020-08-10,53:05,3185,17.37,-80.13,67.3,,
freeCodeCamp.org,"Solidity, Blockchain, and Smart Contract Course – Beginner to Expert Python Tutorial",https://www.youtube.com/watch?v=M576WGiDBdQ,Beginner Guides (Beginner Guides),3713398,2022-08-10,16:22:11,58931,51.93,-24.77,-9.61,,
Programming with Mosh,Python Machine Learning Tutorial (Data Science),https://www.youtube.com/watch?v=7eh4d6sabA0,"Beginner Guides (Beginner Guides, Data Science, Machine Learning)",3609040,2021-08-10,49:43,2983,-21.0,93.87,33.92,,
Keith Galli,"Complete Python Pandas Data Science Tutorial! (Reading CSV/Excel files, Sorting, Filtering, Groupby)",https://www.youtube.com/watch?v=vmEHCJofslg,"Data Science (Data Science, Script Utilities)",3514203,2019-08-11,01:00:26,3626,17.81,40.78,92.86,,
freeCodeCamp.org,Tkinter Course - Create Graphic User Interfaces in Python Tutorial,https://www.youtube.com/watch?v=YXPyB4XeYLA,Beginner Guides (Beginner Guides),3509533,2020-08-10,05:37:31,20251,76.9,-33.27,10.88,,
freeCodeCamp.org,TensorFlow 2.0 Complete Course - Python Neural Networks for Beginners Tutorial,https://www.youtube.com/watch?v=tPYj3fFJGjk,Machine Learning (Machine Learning),3480002,2020-08-10,06:52:08,24728,-15.1,92.8,-79.09,,
freeCodeCamp.org,PyTorch for Deep Learning & Machine Learning – Full Course,https://www.youtube.com/watch?v=V_xro1bcAuA,"Beginner Guides (Beginner Guides, Machine Learning)",3450434,2023-08-10,25:37:25,92245,-31.62,89.75,-32.64,,
Programming with Mosh,Django Tutorial for Beginners – Build Powerful Backends,https://www.youtube.com/watch?v=rHux0gMZ3Eg,"Beginner Guides (Beginner Guides, Web Backend)",3435451,2021-08-10,01:02:36,3756,-88.03,4.08,13.51,,
MoureDev by Brais Moure,Curso COMPLETO de PYTHON desde CERO para PRINCIPIANTES,https://www.youtube.com/watch?v=Kp4Mvapo5kc,Beginner Guides (Beginner Guides),3347239,2023-08-10,10:07:34,36454,45.16,-89.18,-76.61,,
freeCodeCamp.org,"Data Analysis with Python Course - Numpy, Pandas, Data Visualization",https://www.youtube.com/watch?v=GPVsHOlRBBI,"Beginner Guides (Beginner Guides, Data Science)",3303124,2021-08-10,09:56:22,35782,-51.99,51.39,73.48,,
freeCodeCamp.org,Data Structures and Algorithms in Python - Full Course for Beginners,https://www.youtube.com/watch?v=pkYVOmU3MgA,"Beginner Guides (Beginner Guides, Control Flow & Loops)",3285903,2022-08-10,12:30:50,45050,-34.92,16.77,-14.77,,
freeCodeCamp.org,Learn Python by Building Five Games - Full Course,https://www.youtube.com/watch?v=XGf2GcyHPhc,Beginner Guides (Beginner Guides),3181353,2020-08-10,06:43:42,24222,64.2,-54.53,-54.22,,
