autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z
Jaime Altozano,Aprendemos a grabar una canción desde cero. Este es el resultado. Tutorial Reaper | Jaime Altozano,https://www.youtube.com/watch?v=BacNrKKPMsE,Beginner Guides (Beginner Guides),4009772,2018-08-11,17:11,1031,9.9,24.54,-13.66
Nico Astegiano,REAPER desde 0 (Principiantes) | Audio para Músicos,https://www.youtube.com/watch?v=WNcg3Z122wY,Beginner Guides (Beginner Guides),1346929,2019-08-11,14:08,848,16.13,37.16,9.26
Adam Steel,Reaper DAW 101:- The Basics - PART 1,https://www.youtube.com/watch?v=JwDcTPn2dvc,Beginner Guides (Beginner Guides),1318769,2019-08-11,01:03:08,3788,36.4,-74.28,23.75
In The Mix,Mastering Start To Finish: A Step by Step Guide to Loud and Clear Masters,https://www.youtube.com/watch?v=ZHXD-BlKyL8,"Beginner Guides (Beginner Guides, Mastering & Loudness)",960777,2021-08-10,25:52,1552,66.94,-18.2,-5.16
Skills Factory,Reaper  - Tutorial for Beginners in 13 MINUTES!  [ COMPLETE ],https://www.youtube.com/watch?v=_shjd4GBILo,Beginner Guides (Beginner Guides),878515,2022-08-10,13:28,808,27.97,5.59,-103.43
Envato Tuts+,Reaper Tutorial for Beginners | FREE COURSE,https://www.youtube.com/watch?v=XRAYqWFeYR0,Beginner Guides (Beginner Guides),814057,2023-08-10,03:37:16,13036,43.7,-5.03,-51.06
Reaper Tutorials,Top 10 Reasons Reaper is the Best DAW,https://www.youtube.com/watch?v=bqfoyumhzPI,Beginner Guides (Beginner Guides),404148,2021-08-10,13:54,834,9.67,-51.97,6.56
The Audio Journey,Reaper Beginners Tutorial - Recording Guitar and Vocals,https://www.youtube.com/watch?v=NhRMM3RjbHM,"Beginner Guides (Beginner Guides, Vocal Processing & Tuning)",380700,2017-08-11,12:04,724,48.73,-6.99,-109.48
SpectreSoundStudios,Unlock THOUSANDS of Free Plugins in Reaper!,https://www.youtube.com/watch?v=2W8gbpfxwiM,JSFX & Plugin DSP (JSFX & Plugin DSP),342924,2021-08-10,11:00,660,78.66,-56.08,-75.57
Audio Tech TV,How To Use Reaper DAW Tutorial for Beginners on Windows 10,https://www.youtube.com/watch?v=EZgHHEkFNIs,"Beginner Guides (Beginner Guides, MIDI Editing & Virtual Instruments)",281255,2021-08-10,20:28,1228,38.8,-98.68,-7.42
Reapertips | Alejandro,How I record guitars (quick and easy) in REAPER,https://www.youtube.com/watch?v=wH94PSfOB_w,Beginner Guides (Beginner Guides),271196,2023-08-10,11:13,673,19.82,38.64,-40.42
Drew Brashler,Behringer X32 - X-UF - Reaper DAW Multi Track Setup,https://www.youtube.com/watch?v=v6a1VvOQoVc,Beginner Guides (Beginner Guides),253282,2014-08-12,17:15,1035,-5.09,-42.68,-12.26
ReaperTV,REAPER Tutorial: Audio Editing Fundamentals,https://www.youtube.com/watch?v=kn2SlBMpzwY,Beginner Guides (Beginner Guides),251133,2017-08-11,18:05,1085,34.35,0.44,-29.06
Audiohackr,How to master your mix using stock plugins in REAPER,https://www.youtube.com/watch?v=Wt0Dp-YPCJs,JSFX & Plugin DSP (JSFX & Plugin DSP),248009,2016-08-11,10:20,620,69.03,-32.21,-97.87
ZigZag Production Studio,"Deadmau5 Explaining the BEST DAW to Start With (Ableton, FL Studio, Reaper...?)",https://www.youtube.com/watch?v=0mpQdI4eMfI,Beginner Guides (Beginner Guides),220949,2023-08-10,03:10,190,4.57,-65.9,6.82
REAPER Mania,Recording Your First Vocal Track in REAPER,https://www.youtube.com/watch?v=dD_xXJC4sJY,Vocal Processing & Tuning (Vocal Processing & Tuning),209285,2020-08-10,14:03,843,54.62,-0.49,-119.12
Gabe Miller Music,The Ultimate Reaper Beginner Tutorial for Electronic Music Production,https://www.youtube.com/watch?v=zHlOnvXaIsY,Beginner Guides (Beginner Guides),207346,2021-08-10,20:43,1243,38.02,20.32,-82.88
ReaperTV,Reaper: Quick Edit Volume Levels - Inline Audio Editing,https://www.youtube.com/watch?v=_KQa5DkVjPU,Beginner Guides (Beginner Guides),202891,2017-08-11,04:26,266,30.36,54.04,-20.09
Dominik „Wodzu” Bodzek,The ULTIMATE GUIDE to REAPER BEAT MAKING 🎹 | Cockos Reaper Tutorial,https://www.youtube.com/watch?v=cdUFQX_Kf9s,"JSFX & Plugin DSP (JSFX & Plugin DSP, Audio Mixing & Routing, MIDI Editing & Virtual Instruments)",192582,2021-08-10,42:57,2577,67.88,-107.6,-30.3
EDM Tips,LUFS Explained – SIMPLE! (Mastering for Spotify),https://www.youtube.com/watch?v=vidK3mE5Mn0,Mastering & Loudness (Mastering & Loudness),177600,2020-08-10,07:11,431,67.08,-19.97,24.69
Reapertips | Alejandro,5 tips I wish I knew sooner in REAPER,https://www.youtube.com/watch?v=5gmCE3zd0nk,Beginner Guides (Beginner Guides),172329,2023-08-10,07:25,445,29.41,-18.7,23.54
REAPER Mania,Using a MIDI Keyboard Controller in REAPER,https://www.youtube.com/watch?v=02Gjb16CbkY,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),170403,2023-08-10,07:58,478,54.19,-110.52,-13.47
Reapertips | Alejandro,10 Tips for Writing MIDI Drums in REAPER,https://www.youtube.com/watch?v=pTYMKf1lJKo,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),165843,2023-08-10,20:11,1211,48.77,-93.74,10.5
OSIRIS GUITAR,Recording Metal Guitars - Reaper Tutorial [For Beginners],https://www.youtube.com/watch?v=ACSdE8vxXPQ,Beginner Guides (Beginner Guides),165528,2022-08-10,16:50,1010,34.72,-7.2,-68.39
Demigodson,How to Play REAPER in Overwatch 2 (Top 500 Hero Guide / Tips and Tricks),https://www.youtube.com/watch?v=GUO9qkedc6g,Beginner Guides (Beginner Guides),155648,2023-08-10,07:40,460,17.73,-65.24,64.19
The REAPER Blog,What you need to know about making videos in REAPER - Video Production In REAPER 5 Quickstart,https://www.youtube.com/watch?v=m5eWDeftza4,Beginner Guides (Beginner Guides),142121,2019-08-11,15:41,941,28.83,-75.07,-66.96
