autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
FX Projections,Projection Mapping Tutorial,https://www.youtube.com/watch?v=B9lpe_RQxYg,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),410541,2023-08-10,62.83,65.41,-77.96
vjfit,Projection Mapping Tutorial (1) - Resolume Arena,https://www.youtube.com/watch?v=8LJ7k4HXCWk,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output)",321502,2014-08-12,63.23,103.11,1.31
Ramanuj Deka,Resolume Arena Basics in 10 MINUTES | Quick Start Guide,https://www.youtube.com/watch?v=gZjwewDLS1o,"Beginner Guides (Beginner Guides, Pixel Mapping & LED Fixtures)",321396,2021-08-10,16.87,75.1,9.12
Motion by Nick (Nick Greenawalt),Learn VIRAL projection mapping in 10 minutes (beginner),https://www.youtube.com/watch?v=BCKEYrCfvHs,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output)",321354,2026-01-11,69.19,107.34,-18.02
Luma Box,After Effects Projection Mapping Beginner's Tutorial,https://www.youtube.com/watch?v=X6CYgIHuof8,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output)",302826,2020-08-10,55.27,111.36,12.57
Christian Le Freak,EASY MAPPING TUTORIAL with RESOLUME,https://www.youtube.com/watch?v=s20eBqbdBkI,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),297316,2017-08-11,61.98,67.48,-97.18
Ginés Romero,10 FIRST STEPS to use RESOLUME 🚦 [Spanish Tutorial for beginners] Introduction from 0 to PRO level,https://www.youtube.com/watch?v=agmLkgOz_0k,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output, Pixel Mapping & LED Fixtures)",265506,2022-08-10,29.76,89.74,-15.96
Interactive solution Expert,How to use projection mapping software to create an immersive room?,https://www.youtube.com/watch?v=osYL-BCwYWU,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),248158,2024-08-09,60.73,52.38,-44.0
Sean Bowes,Resolume Quick Start Guide | How to VJ - Beginner Tutorial,https://www.youtube.com/watch?v=U-oZYkVO4wM,"Beginner Guides (Beginner Guides, Decks, Clips & Layer Mixing)",232960,2022-08-10,32.23,25.94,76.72
Sean Bowes,Resolume Advanced Output | LED Screen Mapping | Quick Start Tutorial,https://www.youtube.com/watch?v=_GMVDozQM2k,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output, Pixel Mapping & LED Fixtures)",229256,2022-08-10,11.14,94.63,-17.4
MITH xyz,Input and Output mapping basics // Resolume Arena #resolume,https://www.youtube.com/watch?v=sTt6KJaXRng,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output)",217268,2020-08-10,61.07,87.14,-6.67
Luma Box,Projection Mapping Tutorial - 3d Mapping with MadMapper,https://www.youtube.com/watch?v=1Typv7KxBRM,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),214480,2019-08-11,49.25,85.44,-57.45
Joe | JLDJUK,Projection Mapping Tutorial - Resolume Arena 4,https://www.youtube.com/watch?v=SauJLNhnWNQ,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),210592,2012-08-12,65.2,53.63,-65.4
Ramanuj Deka,Mapping in Resolume | Cool tricks with mapping,https://www.youtube.com/watch?v=mv7elV0mqh4,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),181127,2020-08-10,31.08,61.69,-66.84
Lucinda Dilworth,Projection mapping setup,https://www.youtube.com/watch?v=fKPsgA8qW4s,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output)",174124,2024-08-09,59.33,118.33,-3.62
Resolume VJ Software,Resolume Video Training: 7.1 Input Mapping,https://www.youtube.com/watch?v=ZB6Ql0Fvle0,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),173237,2019-08-11,36.97,71.26,-99.7
Luma Box,Resolume Projection Mapping with Multiple Projectors Tutorial,https://www.youtube.com/watch?v=Kw0jsbHDvcE,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),152203,2020-08-10,81.67,63.4,-75.43
Luma Box,Resolume Arena 6 Tutorial | Learn Cake Mapping (2/6) Projection Mapping,https://www.youtube.com/watch?v=6ojti0HOeZQ,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),150000,2019-08-11,62.22,73.68,-42.76
Resolume VJ Software,Resolume Video Training: 7.3 LED Stage Mapping,https://www.youtube.com/watch?v=evwRGc4DCQg,"Projection Mapping & Advanced Output (Projection Mapping & Advanced Output, Pixel Mapping & LED Fixtures, NDI, Spout & Video Routing)",148701,2019-08-11,-4.08,95.9,-74.81
DocOptic,"Flo Bay: Free VJ Loop HD Visual for Resolume, Serato Video, VDMX, MixEmergency, CoGe, etc.",https://www.youtube.com/watch?v=TypVK1cjmJU,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing, DMX Lighting Control)",137150,2017-08-11,-45.35,-6.61,-50.55
DocOptic,Resolume Arena & Avenue (Tutorial): Create Audio Reactive Effects,https://www.youtube.com/watch?v=O8d6JRiAvmA,BPM Sync & Audio Reactivity (BPM Sync & Audio Reactivity),136620,2014-08-12,-7.06,-23.53,113.11
Resolume VJ Software,Resolume Video Training: 1.1 Loading Content,https://www.youtube.com/watch?v=lKc03iEJOao,Beginner Guides (Beginner Guides),128465,2019-08-11,49.58,-11.09,51.0
STVinMotion,How To Prepare For a Live VJ Show Using Resolume VJing Software - OrnaMental's Tutorial,https://www.youtube.com/watch?v=fqLvaQOOke4,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing)",126316,2017-08-11,-69.08,37.39,38.91
Sean Bowes,"Sync Resolume, GrandMA, and CDJs with Showkontrol | Timecode Visuals Tutorial",https://www.youtube.com/watch?v=KGIxUY691K0,Beginner Guides (Beginner Guides),122998,2024-08-09,51.07,-57.15,43.49
Sean Bowes,Resolume Slice Transform | LED Screen Mapping | Quick Start Tutorial,https://www.youtube.com/watch?v=CTlTN_V7yoI,"Beginner Guides (Beginner Guides, Projection Mapping & Advanced Output, Pixel Mapping & LED Fixtures)",122842,2022-08-10,10.42,94.39,-1.75
Resolume VJ Software,Resolume Video Training: 7.2 Structure Mapping,https://www.youtube.com/watch?v=G2RigLJhEjM,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),121727,2019-08-11,27.74,46.95,-83.64
Zunayed Sabbir Ahmed and All About Stage Shows!,Live VJ Set | Original Set - Masks Beneath | #Resolume #Arena #chaser | 4k ultrawide screen capture,https://www.youtube.com/watch?v=PfrcW7g1zbE,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing, BPM Sync & Audio Reactivity)",120498,2024-08-09,-26.79,16.53,50.96
Sean Bowes,5 Things You NEED To VJ | How to VJ - Beginner Tutorial,https://www.youtube.com/watch?v=SY7kQsyy8H8,"Beginner Guides (Beginner Guides, Decks, Clips & Layer Mixing)",115438,2022-08-10,45.89,16.05,89.12
ANUPAM ACHHAMI,How to Play and Control Visual in 5 SCREEN with Resolume Arena [NP],https://www.youtube.com/watch?v=lV33j7HJ-ns,Beginner Guides (Beginner Guides),107991,2020-08-10,20.73,2.07,-16.28
Doctor Mush,Resolume MIDI Mapping Tutorial --- AKAI APC40 MKII,https://www.youtube.com/watch?v=8Uuki86pCOw,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),107125,2023-08-10,41.84,30.48,-78.01
Sean Bowes,The Best Software for Concert Visuals,https://www.youtube.com/watch?v=mQBCPrX1hLM,Beginner Guides (Beginner Guides),106667,2020-08-10,109.25,-25.17,7.64
