autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Tantacrul,Music Software & Bad Interface Design: Avid’s Sibelius,https://www.youtube.com/watch?v=dKx1wnXClcI,Beginner Guides (Beginner Guides),1703042,2019-08-11,21:35,1295,-89.81,-73.84,10.99,,
Avid,Fundamentals,https://www.youtube.com/watch?v=pBM-yXo0TM4,Beginner Guides (Beginner Guides),564889,2014-08-12,18:42,1122,-46.52,-45.77,31.73,,
Adam Neely,10 minutes of writing music in Sibelius 6 (...and that's basically it...),https://www.youtube.com/watch?v=ikY5ht-gnwQ,Keyboard Shortcuts (Keyboard Shortcuts),290294,2016-08-11,12:35,755,-103.73,-17.12,-59.45,,
Midnight Music,Sibelius Tutorial: Drum parts from scratch,https://www.youtube.com/watch?v=3AsWCqx2yB8,Dynamic Parts & Engraving (Dynamic Parts & Engraving),160458,2010-08-13,04:21,261,37.09,-50.99,114.94,,
Sebastián Pugliese OST,"SIBELIUS for Beginners - Music notation, functions and shortcuts",https://www.youtube.com/watch?v=DQpY-u4sSYo,"Keyboard Shortcuts (Keyboard Shortcuts, Lyrics & Text Annotations)",152236,2018-08-11,36:39,2199,-97.34,-53.91,-82.48,,
Midnight Music,Sibelius Tutorial: How To Record With A MIDI Keyboard,https://www.youtube.com/watch?v=_pfiI8k_LJE,Note Input Methods (Note Input Methods),138326,2012-08-12,06:08,368,11.89,-17.93,-88.57,,
Avid,Guided Tour of Avid Sibelius 7,https://www.youtube.com/watch?v=EFDWBIs_4NY,Beginner Guides (Beginner Guides),135852,2011-08-13,11:59,719,-88.61,-55.36,32.05,,
Avid,Score Setup and Navigation,https://www.youtube.com/watch?v=FyaTTHEkQf8,"Beginner Guides (Beginner Guides, Score Formatting)",131142,2014-08-12,16:00,960,-51.31,48.59,3.97,,
JJay Berthume,"Sibelius 7/8 Tips, Tricks & Shortcuts for a Faster Workflow",https://www.youtube.com/watch?v=b5PgcOlh5w0,"Beginner Guides (Beginner Guides, Note Input Methods, Keyboard Shortcuts)",109250,2017-08-11,01:15:25,4525,-41.19,-33.38,-78.3,,
Avid,"Layout, Instrument Changes, Transposition, and Playback",https://www.youtube.com/watch?v=BgTBIrEgY7o,"Beginner Guides (Beginner Guides, Score Formatting, Playback & NotePerformer, Arranging & Orchestration)",104583,2014-08-12,13:37,817,-72.97,51.09,25.45,,
NYC Music Services,Sibelius on iPad: First look,https://www.youtube.com/watch?v=OgYAjjbqrq0,Beginner Guides (Beginner Guides),82726,2021-08-10,15:13,913,-51.11,-81.9,71.15,,
NotePerformer,"NotePerformer: Realistic Playback for Sibelius, Dorico & Finale",https://www.youtube.com/watch?v=0XpVvcbaxQM,Playback & NotePerformer (Playback & NotePerformer),70545,2018-08-11,03:01,181,57.8,-81.08,-4.3,,
Avid,Introducing Avid Sibelius 7,https://www.youtube.com/watch?v=9YW_9oGcG4k,Beginner Guides (Beginner Guides),67411,2011-08-13,04:58,298,-67.56,-53.55,34.52,,
Phrygian Frog - Music Professionals,Sibelius First Basics,https://www.youtube.com/watch?v=kciEouplq9w,"Beginner Guides (Beginner Guides, Lead Sheets & Chord Symbols, Lyrics & Text Annotations)",67240,2020-08-10,15:44,944,35.58,5.95,23.38,,
Berklee Online,How to Manually Adjust the Layout of a Score in Sibelius | Music Notation Software | Berklee Online,https://www.youtube.com/watch?v=VkIPCQwceWk,Score Formatting (Score Formatting),61028,2021-08-10,02:57,177,14.83,87.09,-24.5,,
MrActuarialPianist,Sibelius 7 Tutorial for Composers Part I,https://www.youtube.com/watch?v=I-WuQc-72TY,Score Formatting (Score Formatting),60714,2012-08-12,07:50,470,-23.52,78.61,-7.92,,
Carlos Lalonde,How To Make Sibelius Sound More Realistic (An Easy Fix),https://www.youtube.com/watch?v=pW5ZX8Itptg,Playback & NotePerformer (Playback & NotePerformer),57716,2020-08-10,06:20,380,86.79,-34.44,-57.3,,
Musical Matter,Sibelius 7 Creating a Chord Chart,https://www.youtube.com/watch?v=5K7wzPVN1IU,Beginner Guides (Beginner Guides),57057,2017-08-11,06:32,392,10.32,-37.6,46.23,,
Kosmic Sound,Avid Sibelius 7 Notation Software,https://www.youtube.com/watch?v=9_rpAngAODQ,Beginner Guides (Beginner Guides),55679,2012-08-12,14:46,886,-70.51,-67.28,19.24,,
David McCoy,Sibelius Tutorial No. 9 Chords and chord symbols,https://www.youtube.com/watch?v=R7jEUgnNus4,"Arranging & Orchestration (Arranging & Orchestration, Lead Sheets & Chord Symbols)",49595,2018-08-11,02:43,163,-1.64,25.25,99.54,,
Editors Keys,Sibelius L1 Guitar Tabs Training Tutorial,https://www.youtube.com/watch?v=M4MwRKmcdjI,Beginner Guides (Beginner Guides),47177,2008-08-13,00:54,54,-11.02,-10.0,78.17,,
lofapel,Typesetting Only Tonic Sol-fa from staff notation With Sibelius Application,https://www.youtube.com/watch?v=V1WCceFNwcM,Beginner Guides (Beginner Guides),45186,2019-08-11,12:26,746,-117.33,-91.06,18.88,,
Horn Hippie Media,SIBELIUS MUSIC NOTATION SOFTWARE | BASICS FOR MUSICIANS |  Sibelius Tutorial,https://www.youtube.com/watch?v=2eGn-onCA6w,Beginner Guides (Beginner Guides),33744,2020-08-10,43:27,2607,-51.52,-89.37,-8.66,,
John Hinchey,"Sibelius Tutorial: Using Kontakt, or any other VI for Playback in Sibelius Ultimate",https://www.youtube.com/watch?v=02P5SixAhmw,Playback & NotePerformer (Playback & NotePerformer),33696,2022-08-10,07:10,430,75.34,-25.46,3.51,,
Carlos Lalonde,Top Sibelius Tips YOU Should Know! [In-Depth Tutorial],https://www.youtube.com/watch?v=vjh_R4VNoiI,Beginner Guides (Beginner Guides),29940,2020-08-10,33:41,2021,-17.39,-46.94,30.46,,
Andrey Stolyarov,🎵3 Tips for Making Your Score Layout Perfect - 🎼 Sibelius Ultimate Tutorial,https://www.youtube.com/watch?v=HFaAA6uPSo4,Score Formatting (Score Formatting),29844,2020-08-10,14:26,866,-19.5,104.35,26.03,,
Avid,Sibelius Tips & Tricks: Using NotePerformer,https://www.youtube.com/watch?v=tNlsAjLjdhI,"Dynamic Parts & Engraving (Dynamic Parts & Engraving, Playback & NotePerformer)",29761,2019-08-11,01:08,68,39.12,-61.27,92.44,,
Avid,Getting Started with Sibelius | First: Writing Notes,https://www.youtube.com/watch?v=yrPvjCknrPM,Beginner Guides (Beginner Guides),29492,2018-08-11,00:42,42,-30.4,-27.92,102.22,,
Sibelius Prático,Sibelius First - Tutorial for Beginners,https://www.youtube.com/watch?v=5ns0SlEGCUo,Score Formatting (Score Formatting),27393,2022-08-10,05:23,323,-17.3,98.16,-1.38,,
Dorico,How to Use Noteperformer 3 with Dorico | Getting Started with Dorico 2,https://www.youtube.com/watch?v=tMiP5yFcEBA,"Beginner Guides (Beginner Guides, Playback & NotePerformer)",25800,2019-08-11,03:02,182,14.05,-118.1,17.26,,
Midnight Music,How to Create Short Pieces on One Page in Sibelius,https://www.youtube.com/watch?v=iDUF6UkI3T4,Score Formatting (Score Formatting),24763,2014-08-12,02:16,136,-41.62,102.34,9.82,,
Avid,Sibelius Tips & Tricks: Adding Lyrics,https://www.youtube.com/watch?v=1Ufv5eApEeo,Lyrics & Text Annotations (Lyrics & Text Annotations),23436,2019-08-11,00:38,38,16.94,15.84,3.46,,
Dave Lowe,How to use Sibelius iPad (in English),https://www.youtube.com/watch?v=BhEHLzkcgvE,Beginner Guides (Beginner Guides),23231,2022-08-10,08:53,533,-34.01,-74.78,70.15,,
xlfph,Sibelius System & Page Formatting,https://www.youtube.com/watch?v=LkSjx2f7kX4,Score Formatting (Score Formatting),23020,2020-08-10,04:17,257,2.07,87.46,-0.39,,
