autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
kishimisu,An introduction to Shader Art Coding,https://www.youtube.com/watch?v=f4s1h2YETNY,"Beginner Guides (Beginner Guides, Generative Art, GLSL & Shader Programming)",1277578,2023-08-10,22:39,1359,-30.46,-5.9,-65.17,,
FX Projections,Projection Mapping Tutorial,https://www.youtube.com/watch?v=B9lpe_RQxYg,Projection Mapping (Projection Mapping),410541,2023-08-10,03:48,228,-8.82,104.02,23.11,,
TouchDesigner,Introduction to TouchDesigner - Ben Voigt,https://www.youtube.com/watch?v=wmM1lCWtn6o,Beginner Guides (Beginner Guides),373149,2018-08-11,03:51:49,13909,37.77,6.72,-14.67,,
Okamirufu Vizualizer,"What is TouchDesigner: A Simple Explanation for Visual, Interactive and Multimedia Creators",https://www.youtube.com/watch?v=Y0xZzuYS2YI,Beginner Guides (Beginner Guides),372096,2024-08-09,06:02,362,44.79,8.62,-32.5,,
Motion by Nick (Nick Greenawalt),Learn VIRAL projection mapping in 10 minutes (beginner),https://www.youtube.com/watch?v=BCKEYrCfvHs,"Beginner Guides (Beginner Guides, Core Fundamentals, GLSL & Shader Programming, Projection Mapping, Python Scripting & System)",321354,2026-01-11,13:49,829,8.88,86.04,4.13,,
Luma Box,After Effects Projection Mapping Beginner's Tutorial,https://www.youtube.com/watch?v=X6CYgIHuof8,"Beginner Guides (Beginner Guides, Projection Mapping, 3D & Geometry (SOPs))",302826,2020-08-10,07:39,459,8.02,86.95,22.57,,
bileam tschepe (elekktronaut),00 – Introduction – TouchDesigner Beginner Course,https://www.youtube.com/watch?v=Z_WfldiO6HI,"Beginner Guides (Beginner Guides, Core Fundamentals)",296557,2020-08-10,07:34,454,52.81,-49.91,48.51,,
株式会社レクストライブ,Audio Curtain　Touch Designer,https://www.youtube.com/watch?v=uP1emkHLoTM,Audio Reactivity (Audio Reactivity),280886,2020-08-10,00:33,33,48.71,-94.05,-57.09,,
MoltenArt,Digital interactive wall by design studio Büro Achter April,https://www.youtube.com/watch?v=G2ptGCwDkVE,Beginner Guides (Beginner Guides),275226,2022-08-10,00:27,27,81.69,25.58,-42.02,,
bileam tschepe (elekktronaut),"Make Anything Audio Reactive – TouchDesigner Tips, Tricks and FAQs 12",https://www.youtube.com/watch?v=rGoCbVmGtPE,Audio Reactivity (Audio Reactivity),262291,2021-08-10,32:09,1929,61.81,-95.01,-60.37,,
The Interactive & Immersive HQ,00 - Introduction - TouchDesigner Tutorial: Beginner Crash Course,https://www.youtube.com/watch?v=g20Qwg8gMBE,"Beginner Guides (Beginner Guides, Core Fundamentals)",261492,2022-08-10,01:12,72,52.46,-51.38,48.69,,
PPPANIK,BLOB TRACK INSTANCING (AUDIOREACTIVE) - TOUCHDESIGNER TUTORIAL,https://www.youtube.com/watch?v=gtP1Ae35RqY,Point Clouds & Instancing (Point Clouds & Instancing),218552,2024-08-09,01:07:55,4075,-98.31,-18.55,51.07,,
