autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Brackeys,How to make a Video Game in Unity - BASICS (E01),https://www.youtube.com/watch?v=IlKaB1etrik,Beginner Guides (Beginner Guides),8788970,2017-08-11,11:25,685,-33.94,-7.74,-58.73,,
Brackeys,How to make a Video Game - Getting Started (Unity),https://www.youtube.com/watch?v=j48LtUkZRjU,Beginner Guides (Beginner Guides),8495560,2017-08-11,03:21,201,-52.98,-4.5,-66.95,,
Brackeys,How to make a Video Game - Godot Beginner Tutorial,https://www.youtube.com/watch?v=LOhfqjmasi0,Beginner Guides (Beginner Guides),8361027,2024-08-09,01:17:12,4632,-43.33,10.59,-55.34,,
Game Maker's Toolkit,The Unity Tutorial For Complete Beginners,https://www.youtube.com/watch?v=XtQMytORBmM,Beginner Guides (Beginner Guides),7035832,2023-08-10,46:39,2799,-11.17,-31.83,-21.93,,
Brackeys,How to make a 2D Game in Unity,https://www.youtube.com/watch?v=on9nwbZngyw,"Beginner Guides (Beginner Guides, 2D Physics & Movement)",6662841,2018-08-11,14:27,867,-37.5,94.83,14.34,,
Sebastian Lague,I Tried Creating a Game Using Real-World Geographic Data,https://www.youtube.com/watch?v=sLqXFF8mlEU,Beginner Guides (Beginner Guides),6103284,2022-08-10,31:37,1897,-89.95,10.88,-73.16,,
Sebastian Lague,Exploring How Computers Work,https://www.youtube.com/watch?v=QZwneRb-zqA,Beginner Guides (Beginner Guides),4046566,2021-08-10,18:12,1092,-33.43,6.2,17.11,,
Code Monkey,Learn Unity Beginner/Intermediate 2026 (FREE COMPLETE Course - Unity Tutorial),https://www.youtube.com/watch?v=AmGSEH7QcDg,"Beginner Guides (Beginner Guides, UI Canvas & HUD Design)",3822723,2023-08-10,10:49:41,38981,1.81,13.99,-106.42,,
Imphenzia,LEARN UNITY - The Most BASIC TUTORIAL I'll Ever Make,https://www.youtube.com/watch?v=pwZpJzpE2lQ,Beginner Guides (Beginner Guides),3504952,2020-08-10,02:04:31,7471,-6.48,26.54,-33.43,,
UGuruz,How to Make Beautiful Terrain in Unity 2020 | Beginner Tutorial,https://www.youtube.com/watch?v=ddy12WHqt-M,"Beginner Guides (Beginner Guides, 3D Physics & Raycasting)",3472615,2020-08-10,16:19,979,-10.63,37.49,-12.46,,
Brackeys,FIRST PERSON MOVEMENT in Unity - FPS Controller,https://www.youtube.com/watch?v=_QajrabyTJc,3D Physics & Raycasting (3D Physics & Raycasting),3424051,2020-08-10,23:52,1432,40.69,85.52,-14.68,,
Sebastian Lague,I Spent a Week Making a Game about Vacuuming,https://www.youtube.com/watch?v=PGk0rnyTa1U,Beginner Guides (Beginner Guides),3324543,2022-08-10,17:51,1071,-57.67,-0.75,-37.67,,
Brackeys,START MENU in Unity,https://www.youtube.com/watch?v=zc8ac_qUXQY,"Beginner Guides (Beginner Guides, UI Canvas & HUD Design)",3234574,2018-08-11,12:52,772,14.84,6.84,-120.0,,
Giedzilla,1 Year of Learning Game Development In 6 Minutes,https://www.youtube.com/watch?v=_tE4phLuGyA,Beginner Guides (Beginner Guides),2893853,2022-08-10,06:00,360,-38.3,72.61,-39.23,,
freeCodeCamp.org,Learn Unity - Beginner's Game Development Tutorial,https://www.youtube.com/watch?v=gB1F9G0JXOo,Beginner Guides (Beginner Guides),2866741,2021-08-10,07:24:39,26679,-52.97,33.81,-33.82,,
Brackeys,GOODBYE - And thanks for everything!,https://www.youtube.com/watch?v=_73UBoDZDLo,Beginner Guides (Beginner Guides),2712109,2021-08-10,06:18,378,-47.93,26.48,68.69,,
Brackeys,2D Animation in Unity (Tutorial),https://www.youtube.com/watch?v=hkaysu1Z-N8,"2D Physics & Movement (2D Physics & Movement, Animator & State Machines)",2685722,2018-08-11,21:53,1313,13.91,71.46,68.51,,
Sebastian Lague,Coding Adventure: Simulating Fluids,https://www.youtube.com/watch?v=rSKMYc1CQHE,VFX & Particles (VFX & Particles),2576269,2024-08-09,47:52,2872,8.04,-60.43,47.61,,
Game Maker's Toolkit,How I learned Unity without following tutorials (Developing 1),https://www.youtube.com/watch?v=vFjXKOXdgGo,Beginner Guides (Beginner Guides),2467223,2022-08-10,18:11,1091,-62.52,-21.62,-0.25,,
Sebastian Lague,Coding Adventure: Simulating an Ecosystem,https://www.youtube.com/watch?v=r_It_X7v-1E,Beginner Guides (Beginner Guides),2341248,2019-08-11,06:40,400,-47.73,-8.01,53.66,,
Sebastian Lague,Polishing and Releasing My Tiny Geography Game,https://www.youtube.com/watch?v=pNp4ug5F6To,Beginner Guides (Beginner Guides),2324959,2022-08-10,26:13,1573,-51.91,16.09,-33.86,,
Mults,Learning Unity Be Like,https://www.youtube.com/watch?v=36ax5HbHwbU,Beginner Guides (Beginner Guides),2266761,2022-08-10,01:01,61,-60.24,-25.11,-47.17,,
Sebastian Lague,I Tried Coding a Neural Network to Identify Doodles,https://www.youtube.com/watch?v=hfMk-kjRv4c,C# Programming & Logic (C# Programming & Logic),2231041,2023-08-10,54:50,3290,95.25,-25.13,-0.52,,
Juniper Dev,Everything You Need To Start Making Games (As A Beginner),https://www.youtube.com/watch?v=_eK26atXTds,Beginner Guides (Beginner Guides),2053680,2025-08-09,16:11,971,-101.97,6.85,-36.34,,
Brackeys,Shooting with Raycasts - Unity Tutorial,https://www.youtube.com/watch?v=THnivyG0Mvo,Beginner Guides (Beginner Guides),2000901,2017-08-11,13:40,820,-29.93,-22.46,-6.85,,
Sebastian Lague,Coding Adventure: Procedural Moons and Planets,https://www.youtube.com/watch?v=lctXaT9pxA0,Beginner Guides (Beginner Guides),1968205,2020-08-10,22:47,1367,-76.03,-8.58,27.98,,
Brackeys,How to make a Video Game in Unity - COLLISION (E05),https://www.youtube.com/watch?v=gAB64vfbrhI,3D Physics & Raycasting (3D Physics & Raycasting),1921341,2017-08-11,07:48,468,60.99,77.72,-35.96,,
Brackeys,TILEMAPS in Unity,https://www.youtube.com/watch?v=ryISV_nH8qw,2D Physics & Movement (2D Physics & Movement),1919644,2018-08-11,13:45,825,-6.45,101.58,37.38,,
