autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
TeaserPlay,Subway Surfers But in Unreal Engine 5,https://www.youtube.com/watch?v=HTMDNZOlUq4,Beginner Guides (Beginner Guides),17065000,2023-08-10,01:09,69,58.68,15.99,-53.36,,
Unreal Sensei,Unreal Engine 5 Beginner Tutorial - UE5 Starter Course!,https://www.youtube.com/watch?v=gQmiqmxJMtA,Beginner Guides (Beginner Guides),6969235,2021-08-10,04:56:18,17778,41.99,-6.24,-5.79,,
Unreal Sensei,Unreal Engine 5 Beginner Tutorial - UE5 Starter Course,https://www.youtube.com/watch?v=k-zMkzmduqI,Beginner Guides (Beginner Guides),6680619,2022-08-10,05:00:00,18000,53.38,-5.64,2.41,,
Unreal Sensei,Why Unreal Engine 5.1 is a Huge Deal,https://www.youtube.com/watch?v=FUGqzE6Je5c,"Beginner Guides (Beginner Guides, Nanite & High-Poly Meshes, Environments)",5986830,2023-08-10,09:54,594,14.22,-38.13,26.92,,
Unreal Sensei,Why Unreal Engine 5.3 is a BIG Deal,https://www.youtube.com/watch?v=POwTaVZ_CA0,Nanite & High-Poly Meshes (Nanite & High-Poly Meshes),2592860,2024-08-09,12:25,745,-2.61,-50.25,1.83,,
Jack Sather,I Made a Game in Unreal in 14 Days... (No Experience),https://www.youtube.com/watch?v=HcJEYB7aQQo,Beginner Guides (Beginner Guides),2440186,2024-08-09,32:58,1978,48.72,77.82,-8.78,,
pwnisher,How I Quickly Create 3D Environments in Unreal Engine 5 | FULL WORKFLOW,https://www.youtube.com/watch?v=YZ4gSKZh6do,Beginner Guides (Beginner Guides),2309905,2022-08-10,22:30,1350,15.59,44.06,-95.25,,
Unreal Sensei,How to Create a Game in Unreal Engine 5 - UE5 Beginner Tutorial,https://www.youtube.com/watch?v=1XjgLKrb4_M,Beginner Guides (Beginner Guides),2302498,2024-08-09,02:39:04,9544,45.98,13.14,-18.55,,
Unreal Sensei,Why Unreal Engine 5.2 is a Game Changer,https://www.youtube.com/watch?v=6DIEZhk_ES8,"Beginner Guides (Beginner Guides, Materials & Shader Graphs)",2106902,2023-08-10,09:51,591,2.32,-28.17,-103.51,,
Unreal Engine,MetaHuman Creator: High-Fidelity Digital Humans Made Easy | Unreal Engine,https://www.youtube.com/watch?v=S3F1vZYpH8c,MetaHuman & Rigging (MetaHuman & Rigging),2099101,2021-08-10,01:15,75,-68.65,-27.27,-48.77,,
William Faucher,Capturing Lofoten in Unreal Engine 5,https://www.youtube.com/watch?v=ifryjffUJT8,Environments (Environments),1963752,2023-08-10,27:50,1670,63.3,-94.01,67.79,,
freeCodeCamp.org,Unreal Engine 5 – Full Course for Beginners,https://www.youtube.com/watch?v=6UlU_FsicK8,Beginner Guides (Beginner Guides),1722879,2023-08-10,11:23:25,41005,20.74,3.25,-12.36,,
Fredyy,If You Can't Make Games After This Video...,https://www.youtube.com/watch?v=RsOBatApM4Q,Beginner Guides (Beginner Guides),1482445,2023-08-10,04:37,277,13.83,58.24,-26.92,,
Bad Decisions Studio,Unreal Engine 5 Beginner Tutorial 2025: Introduction,https://www.youtube.com/watch?v=L9qixi858Ag,Beginner Guides (Beginner Guides),1412666,2024-08-09,03:28,208,69.57,35.13,-41.83,,
Unreal Sensei,Why Unreal Engine 5.4 is a Game Changer,https://www.youtube.com/watch?v=9aIbo84jhOU,MetaHuman & Rigging (MetaHuman & Rigging),1398509,2024-08-09,12:46,766,-79.1,-9.02,-52.24,,
William Faucher,Lighting in Unreal Engine 5 for Beginners,https://www.youtube.com/watch?v=fSbBsXbjxPo,Lumen & Lighting Systems (Lumen & Lighting Systems),1344297,2022-08-10,44:43,2683,-88.9,-59.69,76.32,,
UNF Games,Unreal Engine 5 Environment Tutorial for Beginners - Creating an Island,https://www.youtube.com/watch?v=1cfPiofNy-U,Environments (Environments),1317337,2022-08-10,02:02:51,7371,74.04,-85.75,52.51,,
Unreal Sensei,Why Unreal Engine 5 is a Game Changer,https://www.youtube.com/watch?v=HM1IZnRzVGQ,"Beginner Guides (Beginner Guides, Lumen & Lighting Systems, Nanite & High-Poly Meshes)",1301802,2021-08-10,05:36,336,-45.34,-27.03,42.75,,
samyam,"choosing a game engine is easy, actually",https://www.youtube.com/watch?v=aMgB018o71U,Beginner Guides (Beginner Guides),1272416,2024-08-09,15:07,907,64.31,56.34,-28.19,,
