autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Apna College,HTML Tutorial for Beginners | Complete HTML with Notes & Code,https://www.youtube.com/watch?v=HcOc7P5BMi4,Web Development Setup (Web Development Setup),31276819,2022-08-10,79.98,-12.64,93.27
SuperSimpleDev,HTML & CSS Full Course - Beginner to Pro,https://www.youtube.com/watch?v=G3e-cpL7ofc,"Beginner Guides (Beginner Guides, Web Development Setup)",19482127,2022-08-10,102.69,-53.22,28.0
Programming with Mosh,JavaScript Course for Beginners – Your First Step to Web Development,https://www.youtube.com/watch?v=W6NZfCO5SIk,"Beginner Guides (Beginner Guides, Web Development Setup)",15177651,2018-08-11,98.18,-57.69,40.35
Programming with Mosh,HTML Tutorial for Beginners: HTML Crash Course,https://www.youtube.com/watch?v=qz0aGYrrlhU,"Beginner Guides (Beginner Guides, Web Development Setup)",11017054,2021-08-10,104.51,-48.78,13.36
CodeWithHarry,Installing VS Code & How Websites Work | Sigma Web Development Course - Tutorial #1,https://www.youtube.com/watch?v=tVzUXW6siu0,"Web Development Setup (Web Development Setup, Python & Backend Setup)",7807193,2024-08-09,83.66,-17.69,35.66
Apna College,Complete Git and GitHub Tutorial for Beginners,https://www.youtube.com/watch?v=Ez8F0nW6S-w,Git & GitHub Integration (Git & GitHub Integration),7777264,2024-08-09,86.79,108.02,-40.39
Traversy Media,HTML Crash Course For Absolute Beginners,https://www.youtube.com/watch?v=UB1O30fR-EE,Web Development Setup (Web Development Setup),7438712,2017-08-11,79.99,-5.12,74.22
PROROZ,How To Create A Website using HTML & CSS | Step-by-Step Tutorial,https://www.youtube.com/watch?v=CQZxeoQeo5c,Web Development Setup (Web Development Setup),6045946,2021-08-10,92.62,-15.4,96.5
Bro Code,HTML & CSS Full Course for free 🌎,https://www.youtube.com/watch?v=HGTJBPNC-Gw,"Beginner Guides (Beginner Guides, Web Development Setup)",5872738,2023-08-10,101.39,-61.23,16.5
Traversy Media,JavaScript Crash Course For Beginners,https://www.youtube.com/watch?v=hdI2bqOjy3c,Web Development Setup (Web Development Setup),4636779,2019-08-11,77.39,-16.99,68.43
CodeWithHarry,HTML Tutorial: Installing VS Code & Live Server | Web Development Tutorials #2,https://www.youtube.com/watch?v=TeZdo8mx0gc,Web Development Setup (Web Development Setup),4603978,2020-08-10,75.61,-16.8,110.76
Kevin Stratvert,👩‍💻 Python for Beginners Tutorial,https://www.youtube.com/watch?v=b093aqAZiPU,"Beginner Guides (Beginner Guides, Python & Backend Setup)",4542765,2021-08-10,80.92,1.69,7.2
Fireship,I tried 10 code editors,https://www.youtube.com/watch?v=8PhdfcX9tG0,Beginner Guides (Beginner Guides),3839624,2022-08-10,114.94,20.61,17.29
Bro Code,Learn HTML in 1 hour 🌎,https://www.youtube.com/watch?v=HD13eq_Pmp8,Web Development Setup (Web Development Setup),3798227,2022-08-10,78.03,-33.95,99.58
Programming with Mosh,Git Tutorial for Beginners: Learn Git in 1 Hour,https://www.youtube.com/watch?v=8JJ101D3knE,Git & GitHub Integration (Git & GitHub Integration),3469626,2021-08-10,92.61,101.08,-16.28
Academind,Visual Studio Code Tutorial for Beginners - Introduction,https://www.youtube.com/watch?v=VqCgcpAypFQ,Beginner Guides (Beginner Guides),3391897,2018-08-11,97.54,28.59,-32.93
freeCodeCamp.org and 2 more,"Full Stack Web Development for Beginners (Full Course on HTML, CSS, JavaScript, Node.js, MongoDB)",https://www.youtube.com/watch?v=nu_pCVPKzTk,"Beginner Guides (Beginner Guides, Web Development Setup)",3240857,2023-08-10,103.07,-55.2,46.98
Fireship,Java for the Haters in 100 Seconds,https://www.youtube.com/watch?v=m4-HM_sCvtQ,Beginner Guides (Beginner Guides),3164841,2022-08-10,107.64,-0.98,37.7
Fireship,How programmers flex on each other,https://www.youtube.com/watch?v=r6tH55syq0o,Beginner Guides (Beginner Guides),2960061,2023-08-10,108.82,24.53,-4.46
Fireship,How to Learn to Code - 8 Hard Truths,https://www.youtube.com/watch?v=NtfbWkxJTHw,Beginner Guides (Beginner Guides),2957080,2022-08-10,108.2,50.34,-20.23
Fireship,I built the same app 10 times // Which JS Framework is best?,https://www.youtube.com/watch?v=cuHDQhDhvPE,Web Development Setup (Web Development Setup),2832779,2022-08-10,72.79,-34.89,47.39
SuperSimpleDev,Backend web development - a complete overview,https://www.youtube.com/watch?v=XBu54nfzxAQ,Web Development Setup (Web Development Setup),2751035,2022-08-10,73.71,-24.57,87.28
Fireship,25 VS Code Productivity Tips and Speed Hacks,https://www.youtube.com/watch?v=ifTF3ags0XI,"Extension Setup & Copilot (Extension Setup & Copilot, Shortcuts & Multi-Cursor)",2711301,2021-08-10,56.89,52.07,-15.75
Fireship,How to ACTUALLY learn to code... 7 Roadmaps for 2023,https://www.youtube.com/watch?v=66tfvFeALBQ,Beginner Guides (Beginner Guides),2483819,2023-08-10,103.24,58.39,-43.34
Fireship,Reacting to Controversial Opinions of Software Engineers,https://www.youtube.com/watch?v=goy4lZfDtCE,Web Development Setup (Web Development Setup),2445803,2022-08-10,70.6,-25.19,69.21
Code Bear,How to Set up Visual Studio Code for C and C++ Programming 2025,https://www.youtube.com/watch?v=9VE7p-he4fA,Beginner Guides (Beginner Guides),2371418,2023-08-10,98.04,23.37,6.89
Fireship,Best OS for programming? Mac vs Windows vs Linux debate settled,https://www.youtube.com/watch?v=AdygBbbEnco,Beginner Guides (Beginner Guides),2336451,2024-08-09,92.08,41.6,-67.02
Bro Code,Learn CSS in 1 hour 🎨,https://www.youtube.com/watch?v=wRNinF7YQqQ,Web Development Setup (Web Development Setup),2301233,2022-08-10,80.96,-42.94,102.12
Traversy Media,Python Django 7 Hour Course,https://www.youtube.com/watch?v=PtQiiknWUcI,Python & Backend Setup (Python & Backend Setup),2234613,2022-08-10,75.28,-11.74,0.33
Bro Code,C Programming Full Course for free ⚙️,https://www.youtube.com/watch?v=xND0t1pr3KY,Beginner Guides (Beginner Guides),2223137,2025-08-09,100.39,-29.88,-16.44
Bring Your Own Laptop,"Free Course: Beginner Web Design using HTML5, CSS3 & Visual Studio Code",https://www.youtube.com/watch?v=C5QFHp1oAws,"Beginner Guides (Beginner Guides, Web Development Setup)",2181218,2019-08-11,98.52,-60.88,4.64
Kenny Yip Coding,How to set up C++ in Visual Studio Code,https://www.youtube.com/watch?v=DMWD7wfhgNY,Beginner Guides (Beginner Guides),2140406,2024-08-09,98.29,18.72,-5.92
Fireship,100+ Web Development Things you Should Know,https://www.youtube.com/watch?v=erEgovG9WBs,"Beginner Guides (Beginner Guides, Web Development Setup)",1948808,2022-08-10,96.85,-40.82,34.76
Visual Studio Code,Using Git with Visual Studio Code (Official Beginner Tutorial),https://www.youtube.com/watch?v=i_23KUAEtUM,"Beginner Guides (Beginner Guides, Git & GitHub Integration)",1938175,2022-08-10,92.05,47.8,19.0
Fireship,Claude 3.7 goes hard for programmers…,https://www.youtube.com/watch?v=x2WtHZciC74,Beginner Guides (Beginner Guides),1928998,2025-08-09,112.22,32.04,-13.94
Fireship,"The ""vibe coding"" mind virus explained…",https://www.youtube.com/watch?v=Tw18-4U7mts,Beginner Guides (Beginner Guides),1908938,2025-08-09,116.1,-2.57,0.5
Fireship,Google just changed the future of UI/UX design...,https://www.youtube.com/watch?v=qaB5HF4ax9M,Beginner Guides (Beginner Guides),1884893,2026-04-11,119.2,-10.01,-30.87
Fireship,JavaScript for the Haters,https://www.youtube.com/watch?v=aXOChLn5ZdQ,Web Development Setup (Web Development Setup),1769274,2023-08-10,79.25,-47.39,64.45
CodeWithHarry,Learn to Push Your Code to GitHub in 10 Minutes (Beginner Video) 🔥,https://www.youtube.com/watch?v=ufKRYe8ZPaw,"Beginner Guides (Beginner Guides, Git & GitHub Integration)",1698683,2023-08-10,86.13,43.84,9.29
Fireship,"Front-end web development is changing, quickly",https://www.youtube.com/watch?v=TBIjgBVFjVI,"Extension Setup & Copilot (Extension Setup & Copilot, Web Development Setup)",1690771,2025-08-09,58.09,-30.65,3.22
Traversy Media,"Async JS Crash Course - Callbacks, Promises, Async Await",https://www.youtube.com/watch?v=PoRJizFvM7s,Web Development Setup (Web Development Setup),1525150,2018-08-11,80.35,2.16,55.0
Danielle Thé,"HTML, CSS, JavaScript Explained [in 4 minutes for beginners]",https://www.youtube.com/watch?v=gT0Lh1eYk78,Web Development Setup (Web Development Setup),1496092,2017-08-11,83.85,-19.89,76.67
Fireship,Mind-bending new programming language for GPUs just dropped...,https://www.youtube.com/watch?v=HCOQmKTFzYY,Python & Backend Setup (Python & Backend Setup),1421439,2024-08-09,71.79,-24.31,-6.09
freeCodeCamp.org,Visual Studio Code Crash Course,https://www.youtube.com/watch?v=WPqXP_kLzpo,Beginner Guides (Beginner Guides),1416347,2021-08-10,97.58,1.04,-6.61
corbin,How To Use GitHub For Beginners,https://www.youtube.com/watch?v=a9u2yZvsqHA,Git & GitHub Integration (Git & GitHub Integration),1415942,2025-08-09,82.8,99.74,-32.22
Fireship,Vim in 100 Seconds,https://www.youtube.com/watch?v=-txKSRn0qeA,Shortcuts & Multi-Cursor (Shortcuts & Multi-Cursor),1410312,2021-08-10,65.99,-31.96,-79.42
Kenny Yip Coding,How to set up Python on Visual Studio Code,https://www.youtube.com/watch?v=9o4gDQvVkLU,Python & Backend Setup (Python & Backend Setup),1390494,2021-08-10,74.27,-24.74,9.76
Brian Design,HTML CSS and Javascript Website Design Tutorial - Beginner Project Fully Responsive,https://www.youtube.com/watch?v=FazgJVnrVuI,"Beginner Guides (Beginner Guides, Web Development Setup)",1389306,2021-08-10,107.66,-71.34,26.5
freeCodeCamp.org,Visual Basic (VB.NET) – Full Course for Beginners,https://www.youtube.com/watch?v=HFWQdGn5DaU,Beginner Guides (Beginner Guides),1349099,2022-08-10,87.81,-2.59,-17.84
Fireship,Java is mounting a huge comeback,https://www.youtube.com/watch?v=Ibjm2KHfymo,Beginner Guides (Beginner Guides),1331917,2023-08-10,108.68,2.13,17.33
SkillsBuild Security,"How to Setup Visual Studio Code for Web Development | HTML, CSS, and JavaScript",https://www.youtube.com/watch?v=mL1IcxIUd5Y,Web Development Setup (Web Development Setup),1322200,2024-08-09,82.59,-37.73,75.75
Fireship,Microsoft just opened the flood gates…,https://www.youtube.com/watch?v=NIgrGqmoeHs,"Extension Setup & Copilot (Extension Setup & Copilot, Git & GitHub Integration)",1312844,2025-08-09,63.11,12.14,43.75
Fireship,VS Code in 100 Seconds,https://www.youtube.com/watch?v=KMxo3T_MTvY,Beginner Guides (Beginner Guides),1302357,2022-08-10,102.04,-6.76,37.95
freeCodeCamp.org,Introduction To Responsive Web Design - HTML & CSS Tutorial,https://www.youtube.com/watch?v=srvUrASNj0s,"Beginner Guides (Beginner Guides, Web Development Setup)",1301625,2020-08-10,106.22,-70.5,11.96
Traversy Media,Bootstrap 5 Crash Course | Website Build & Deploy,https://www.youtube.com/watch?v=4sosXZsdy-s,Beginner Guides (Beginner Guides),1246386,2021-08-10,98.6,-7.17,13.0
CodeWithHarry,VS Code Tutorial + Python Setup | Python Tutorials For Absolute Beginners In Hindi #121,https://www.youtube.com/watch?v=t90FMQr9WWc,Python & Backend Setup (Python & Backend Setup),1232734,2019-08-11,78.77,-18.22,12.06
